lg_nw,r_nw,t_ox,N_sd,eps_ox
10,3,1.5,2.0e+20,22
vgs,vds,ids
0.0,0.0,1.4531706522700848e-09
0.0,0.05,1.7861382242910612e-09
0.0,0.1,2.0215855775091036e-09
0.0,0.15,2.155065749557278e-09
0.0,0.2,2.2348011681774397e-09
0.0,0.25,2.293623224931703e-09
0.0,0.3,2.3467562634585854e-09
0.0,0.35,2.4005330767557487e-09
0.0,0.4,2.457613342804381e-09
0.0,0.45,2.5192562368503994e-09
0.0,0.5,2.5862223319362967e-09
0.0,0.55,2.659122100508258e-09
0.0,0.6,2.738551158255117e-09
0.0,0.65,2.825144772553858e-09
0.0,0.7,2.919602171857363e-09
0.05,0.0,8.289347880886438e-09
0.05,0.05,1.0264282083174207e-08
0.05,0.1,1.166363613366054e-08
0.05,0.15,1.2426406886031317e-08
0.05,0.2,1.2844499233606455e-08
0.05,0.25,1.3123355955538111e-08
0.05,0.3,1.3358106949770229e-08
0.05,0.35,1.3587419437739799e-08
0.05,0.4,1.3826610318029874e-08
0.05,0.45,1.408207724194565e-08
0.05,0.5,1.4356986835488917e-08
0.05,0.55,1.4653445973792622e-08
0.05,0.6,1.497332641695659e-08
0.05,0.65,1.531858315092516e-08
0.05,0.7,1.5691384432161336e-08
0.1,0.0,4.657267252771178e-08
0.1,0.05,5.78808864258852e-08
0.1,0.1,6.605521983434903e-08
0.1,0.15,7.044401888168605e-08
0.1,0.2,7.270835439658665e-08
0.1,0.25,7.408499386450577e-08
0.1,0.3,7.515269118057039e-08
0.1,0.35,7.614470603520822e-08
0.1,0.4,7.715036791187812e-08
0.1,0.45,7.82037730030617e-08
0.1,0.5,7.931875827735447e-08
0.1,0.55,8.050219159800541e-08
0.1,0.6,8.17589629420109e-08
0.1,0.65,8.309385927144032e-08
0.1,0.7,8.451227968695328e-08
0.15,0.0,2.1208062704868086e-07
0.15,0.05,2.72151688837662e-07
0.15,0.1,3.166437245446294e-07
0.15,0.15,3.4007456064888957e-07
0.15,0.2,3.51214687613727e-07
0.15,0.25,3.570576403144107e-07
0.15,0.3,3.609354370858436e-07
0.15,0.35,3.6419624237964924e-07
0.15,0.4,3.6735195873672504e-07
0.15,0.45,3.705908539290369e-07
0.15,0.5,3.7398086571751476e-07
0.15,0.55,3.7754700162004137e-07
0.15,0.6,3.81300348141509e-07
0.15,0.65,3.852488551702375e-07
0.15,0.7,3.894013148793878e-07
0.2,0.0,6.328574722252306e-07
0.2,0.05,8.822540535258644e-07
0.2,0.1,1.0758917848005319e-06
0.2,0.15,1.1763462855836882e-06
0.2,0.2,1.2195858708273135e-06
0.2,0.25,1.2375634032549573e-06
0.2,0.3,1.2459035305868538e-06
0.2,0.35,1.2509868361479547e-06
0.2,0.4,1.2552439559315088e-06
0.2,0.45,1.2595659128718112e-06
0.2,0.5,1.2642658899749766e-06
0.2,0.55,1.2694460623911413e-06
0.2,0.6,1.2751350737830444e-06
0.2,0.65,1.2813390489200725e-06
0.2,0.7,1.2880603013294415e-06
0.25,0.0,1.2360065504749533e-06
0.25,0.05,1.9063442016051163e-06
0.25,0.1,2.4694268428209284e-06
0.25,0.15,2.766922781371448e-06
0.25,0.2,2.8892704605087776e-06
0.25,0.25,2.9323518002215607e-06
0.25,0.3,2.9448190073912193e-06
0.25,0.35,2.9467734799612875e-06
0.25,0.4,2.94590447788777e-06
0.25,0.45,2.945034293852777e-06
0.25,0.5,2.945150734845597e-06
0.25,0.55,2.9465655016594926e-06
0.25,0.6,2.9493482399573336e-06
0.25,0.65,2.953487592094675e-06
0.25,0.7,2.9589503416554923e-06
0.3,0.0,1.8383052022372629e-06
0.3,0.05,3.1126518211014317e-06
0.3,0.1,4.27502310840465e-06
0.3,0.15,4.912112859607155e-06
0.3,0.2,5.1754011798616965e-06
0.3,0.25,5.265050465607666e-06
0.3,0.3,5.286771091513496e-06
0.3,0.35,5.2848197649242585e-06
0.3,0.4,5.276222546595797e-06
0.3,0.45,5.2672550219600286e-06
0.3,0.5,5.260125255505901e-06
0.3,0.55,5.255534439157568e-06
0.3,0.6,5.2536376650663774e-06
0.3,0.65,5.254400912754047e-06
0.3,0.7,5.257732529047869e-06
0.35,0.0,2.3642687282148156e-06
0.35,0.05,4.3400017803442885e-06
0.35,0.1,6.284186011675154e-06
0.35,0.15,7.394282199220407e-06
0.35,0.2,7.86484236090507e-06
0.35,0.25,8.030507236012225e-06
0.35,0.3,8.075155450344522e-06
0.35,0.35,8.076842175864677e-06
0.35,0.4,8.065808843082403e-06
0.35,0.45,8.053275318336982e-06
0.35,0.5,8.04323230520185e-06
0.35,0.55,8.036979419006937e-06
0.35,0.6,8.034832424014192e-06
0.35,0.65,8.036759207022915e-06
0.35,0.7,8.042614886104722e-06
0.4,0.0,2.8082910246795626e-06
0.4,0.05,5.525990012054829e-06
0.4,0.1,8.39757323351829e-06
0.4,0.15,1.010680145766349e-05
0.4,0.2,1.0853936029424484e-05
0.4,0.25,1.1130154651171877e-05
0.4,0.3,1.1216641801117874e-05
0.4,0.35,1.1234492755579815e-05
0.4,0.4,1.1230982674827063e-05
0.4,0.45,1.122377699321309e-05
0.4,0.5,1.1219233773750543e-05
0.4,0.55,1.1219482266174472e-05
0.4,0.6,1.1225094436976399e-05
0.4,0.65,1.12360831060663e-05
0.4,0.7,1.125227235212988e-05
