lg_nw,r_nw,t_ox,N_sd,eps_ox
12,3,1.5,1.0e+20,7.5
vgs,vds,ids
0.0,0.0,3.0114044561541087e-09
0.0,0.05,3.449353107493847e-09
0.0,0.1,3.845145414650953e-09
0.0,0.15,4.124160619114995e-09
0.0,0.2,4.335564265583131e-09
0.0,0.25,4.52506798997578e-09
0.0,0.3,4.716240883066575e-09
0.0,0.35,4.9199481953009544e-09
0.0,0.4,5.141638203684857e-09
0.0,0.45,5.3847423464514494e-09
0.0,0.5,5.652078709218416e-09
0.0,0.55,5.946419887406787e-09
0.0,0.6,6.27073365673251e-09
0.0,0.65,6.62829980773409e-09
0.0,0.7,7.022782318390569e-09
0.05,0.0,1.5291669804923842e-08
0.05,0.05,1.8569117317574986e-08
0.05,0.1,2.1350686267820866e-08
0.05,0.15,2.3164352211491452e-08
0.05,0.2,2.439707103846829e-08
0.05,0.25,2.5405355537728208e-08
0.05,0.3,2.6370252773885172e-08
0.05,0.35,2.737115543800272e-08
0.05,0.4,2.8443643421968873e-08
0.05,0.45,2.9606436150889378e-08
0.05,0.5,3.0872398002058834e-08
0.05,0.55,3.2252877576117124e-08
0.05,0.6,3.375943946086562e-08
0.05,0.65,3.54046033248364e-08
0.05,0.7,3.720221404220169e-08
0.1,0.0,7.357641681310863e-08
0.1,0.05,9.517724492903835e-08
0.1,0.1,1.1259937064809443e-07
0.1,0.15,1.2310424777053093e-07
0.1,0.2,1.2934262726007365e-07
0.1,0.25,1.3376670303405604e-07
0.1,0.3,1.3761283877360736e-07
0.1,0.35,1.4140500086361903e-07
0.1,0.4,1.4535791196334928e-07
0.1,0.45,1.495651463908503e-07
0.1,0.5,1.5407544134078038e-07
0.1,0.55,1.5892230691544864e-07
0.1,0.6,1.6413540195507463e-07
0.1,0.65,1.6974496050160513e-07
0.1,0.7,1.7578360190533898e-07
0.15,0.0,2.628730034873951e-07
0.15,0.05,3.6712312557173403e-07
0.15,0.1,4.516327264300539e-07
0.15,0.15,4.994071459450105e-07
0.15,0.2,5.233802928625625e-07
0.15,0.25,5.366649424560367e-07
0.15,0.3,5.459658961003635e-07
0.15,0.35,5.540922134215518e-07
0.15,0.4,5.621466190287715e-07
0.15,0.45,5.705594086435867e-07
