lg_nw,r_nw,t_ox,N_sd,eps_ox
20,5,1.5,2.0e+20,22
vg,vd,ids
0.7,-0.4,1.7735959792198948e-06
0.696,-0.392,1.7658815682561904e-06
0.692,-0.384,1.7581849024761513e-06
0.688,-0.376,1.7505121469924361e-06
0.684,-0.368,1.7428705219022874e-06
0.68,-0.36,1.7352684799212898e-06
0.676,-0.352,1.7277159143932112e-06
0.672,-0.344,1.7202244030309023e-06
0.668,-0.336,1.7128074937474887e-06
0.664,-0.328,1.7054810401527095e-06
0.66,-0.32,1.6982635957672618e-06
0.656,-0.312,1.691176877815628e-06
0.652,-0.304,1.6842463136821039e-06
0.648,-0.296,1.6775016858679402e-06
0.644,-0.288,1.6709778947188868e-06
0.64,-0.28,1.6647158624976599e-06
0.636,-0.272,1.658763607814554e-06
0.632,-0.264,1.653177526348204e-06
0.628,-0.256,1.6480239226494484e-06
0.624,-0.248,1.6433808492459624e-06
0.62,-0.24,1.6393403240888092e-06
0.616,-0.232,1.6360110167317927e-06
0.612,-0.224,1.633521519033246e-06
0.608,-0.216,1.632024349676754e-06
0.604,-0.208,1.6317008862069954e-06
0.6,-0.2,1.632767477327274e-06
0.596,-0.192,1.6354830669623874e-06
0.592,-0.184,1.640158766812073e-06
0.588,-0.176,1.6471699547486208e-06
0.584,-0.168,1.6569716640856131e-06
0.58,-0.16,1.670118278217315e-06
0.576,-0.152,1.6872888743014758e-06
0.572,-0.144,1.7093199886023143e-06
0.568,-0.136,1.7372481238430223e-06
0.564,-0.128,1.7723649955896537e-06
0.56,-0.12,1.8162893049487161e-06
0.556,-0.112,1.8710596551470422e-06
0.552,-0.104,1.9392539078954883e-06
0.548,-0.096,2.024140387988775e-06
0.544,-0.088,2.1298650933845958e-06
0.54,-0.08,2.2616750511773273e-06
0.536,-0.072,2.426168957951945e-06
0.532,-0.064,2.6315492284666097e-06
0.528,-0.056,2.887821451876953e-06
0.524,-0.048,3.2068471715787527e-06
0.52,-0.04,3.6021099846946153e-06
0.516,-0.032,4.088022746891723e-06
0.512,-0.024,4.678621547844124e-06
0.508,-0.016,5.385603473691551e-06
0.504,-0.008,6.2158881972481175e-06
0.5,0.0,7.169166563838098e-06
0.504,0.008,8.34823537955757e-06
0.508,0.016,9.67636437546261e-06
0.512,0.024,1.1141605085385153e-05
0.516,0.032,1.2724932260334047e-05
0.52,0.04,1.4401921984890091e-05
0.524,0.048,1.614496884201144e-05
0.528,0.056,1.7925604429815767e-05
0.532,0.064,1.9716549507766786e-05
0.536,0.072,2.1493274253729975e-05
0.54,0.08,2.3234989745035507e-05
0.544,0.088,2.492510695367927e-05
0.548,0.096,2.6551264290338543e-05
0.552,0.104,2.8105047411506347e-05
0.556,0.112,2.9581519478650854e-05
0.56,0.12,3.097865981519776e-05
0.564,0.128,3.2296783818443734e-05
0.568,0.136,3.35379929816163e-05
0.572,0.144,3.4705683834926904e-05
0.576,0.152,3.58041294032336e-05
0.58,0.16,3.683813616798739e-05
0.584,0.168,3.7812772764207465e-05
0.588,0.176,3.8733162841704425e-05
0.592,0.184,3.960433282432864e-05
0.596,0.192,4.043110500027767e-05
0.6,0.2,4.121802692171427e-05
0.604,0.208,4.196932908748322e-05
0.608,0.216,4.268890406081382e-05
0.612,0.224,4.338030136560064e-05
0.616,0.232,4.404673361280629e-05
0.62,0.24,4.4691090284437996e-05
0.624,0.248,4.5315956429724376e-05
0.628,0.256,4.5923634208965476e-05
0.632,0.264,4.651616576775847e-05
0.636,0.272,4.709535635530687e-05
0.64,0.28,4.766279693387764e-05
0.644,0.288,4.821988577988549e-05
0.648,0.296,4.876784876642639e-05
0.652,0.304,4.930775815597052e-05
0.656,0.312,4.9840549831686234e-05
0.66,0.32,5.0367038965704504e-05
0.664,0.328,5.088793416993258e-05
0.668,0.336,5.140385020553439e-05
0.672,0.344,5.191531934542584e-05
0.676,0.352,5.242280149352205e-05
0.68,0.36,5.29266931676137e-05
0.684,0.368,5.3427335451617054e-05
0.688,0.376,5.392502101896993e-05
0.692,0.384,5.442000032320053e-05
0.696,0.392,5.491248704494415e-05
0.7,0.4,5.540266287746464e-05
