lg_nw,r_nw,t_ox,N_sd,eps_ox
10,2,0.5,5.0e+19,3.9
vg,vd,ids
0.3,-0.4,1.930840017924428e-07
0.296,-0.392,1.8480609703931782e-07
0.292,-0.384,1.7667422684423852e-07
0.288,-0.376,1.6869459489053246e-07
0.284,-0.368,1.6087313528665744e-07
0.28,-0.36,1.5321549695722946e-07
0.276,-0.352,1.4572703073375184e-07
0.272,-0.344,1.384127789413226e-07
0.268,-0.336,1.31277467167789e-07
0.264,-0.328,1.243254977983104e-07
0.26,-0.32,1.175609448081239e-07
0.256,-0.312,1.1098754923718269e-07
0.252,-0.304,1.0460871473070815e-07
0.248,-0.296,9.84275025280952e-08
0.244,-0.288,9.244662532728175e-08
0.24,-0.28,8.666843954976578e-08
0.236,-0.272,8.109493568809193e-08
0.232,-0.264,7.572772663496005e-08
0.228,-0.256,7.056803416895063e-08
0.224,-0.248,6.56166740985095e-08
0.22,-0.24,6.087404092856474e-08
0.216,-0.232,5.6340093290022665e-08
0.212,-0.224,5.2014341728948684e-08
0.208,-0.216,4.789584074663235e-08
0.204,-0.208,4.39831871600341e-08
0.2,-0.2,4.0274526849672933e-08
0.196,-0.192,3.676757170470506e-08
0.192,-0.184,3.34596279832139e-08
0.188,-0.176,3.034763630265851e-08
0.184,-0.168,2.7428222002025392e-08
0.18,-0.16,2.4697752658805416e-08
0.176,-0.152,2.2152397170879477e-08
0.172,-0.144,1.9788178237780775e-08
0.168,-0.136,1.7601007716222366e-08
0.164,-0.128,1.5586692857450076e-08
0.16,-0.12,1.3740901784394553e-08
0.156,-0.112,1.2059079774039573e-08
0.152,-0.104,1.0536314796872283e-08
0.148,-0.096,9.16716139526596e-09
0.144,-0.088,7.945445041554228e-09
0.14,-0.08,6.864081540037325e-09
0.136,-0.072,5.914953368179768e-09
0.132,-0.064,5.0888826621366635e-09
0.128,-0.056,4.3757266785813545e-09
0.124,-0.048,3.764598090248827e-09
0.12,-0.04,3.244185939635772e-09
0.116,-0.032,2.8031321502267015e-09
0.112,-0.024,2.4304099839457363e-09
0.108,-0.016,2.1156564133454282e-09
0.104,-0.008,1.8494261510058528e-09
0.1,0.0,1.6233541285461248e-09
0.104,0.008,1.9103541895107388e-09
0.108,0.016,2.2573883826878146e-09
0.112,0.024,2.676941279612461e-09
0.116,0.032,3.183451632893284e-09
0.12,0.04,3.793476350584024e-09
0.124,0.048,4.525866351370267e-09
0.128,0.056,5.401963526882024e-09
0.132,0.064,6.4458279628299915e-09
0.136,0.072,7.684502587224722e-09
0.14,0.08,9.148318913452821e-09
0.144,0.088,1.0871243214492309e-08
0.148,0.096,1.2891258008059569e-08
0.152,0.104,1.525076966585243e-08
0.156,0.112,1.799702952666745e-08
0.16,0.12,2.1182553105625993e-08
0.164,0.128,2.4865519737957806e-08
0.168,0.136,2.9110133150591592e-08
0.172,0.144,3.398692195895135e-08
0.176,0.152,3.9572957981339645e-08
0.18,0.16,4.5951969688015945e-08
0.184,0.168,5.321432826468457e-08
0.188,0.176,6.145688490720663e-08
0.192,0.184,7.078264029682149e-08
0.196,0.192,8.130023089583125e-08
0.2,0.2,9.312322182095603e-08
0.204,0.208,1.0636920254145231e-07
0.208,0.216,1.2115868931925682e-07
0.212,0.224,1.3761384682605046e-07
0.216,0.232,1.5585705027815857e-07
0.22,0.24,1.7600931816959316e-07
0.224,0.248,1.9818865365015074e-07
0.228,0.256,2.2250833918726245e-07
0.232,0.264,2.4907523382863997e-07
0.236,0.272,2.779881247287206e-07
0.24,0.28,3.093361843623492e-07
0.244,0.288,3.431975819655912e-07
0.248,0.296,3.796382923613997e-07
0.252,0.304,4.187111377822765e-07
0.256,0.312,4.604550890860558e-07
0.26,0.32,5.048948424760276e-07
0.264,0.328,5.520406771363715e-07
0.268,0.336,6.018885887251786e-07
0.272,0.344,6.54420684016379e-07
0.276,0.352,7.096058136324078e-07
0.28,0.36,7.674004131126199e-07
0.284,0.368,8.277495177255878e-07
0.288,0.376,8.905879135199412e-07
0.292,0.384,9.558413860533553e-07
0.296,0.392,1.023428028871057e-06
0.3,0.4,1.0932595758756664e-06
