lg_nw,r_nw,t_ox,N_sd,eps_ox
14,5,1,5.0e+19,3.9
vgs,vds,ids
0.0,0.0,5.000468402817119e-08
0.0,0.05,7.124735208932563e-08
0.0,0.1,8.997577412241e-08
0.0,0.15,1.0280788432502108e-07
0.0,0.2,1.1206234679215134e-07
0.0,0.25,1.2015232265646065e-07
0.0,0.3,1.2836071938246034e-07
0.0,0.35,1.3727930262014758e-07
0.0,0.4,1.471994727548333e-07
0.0,0.45,1.5829991805076112e-07
0.0,0.5,1.7072431444930983e-07
0.0,0.55,1.846119071499803e-07
0.0,0.6,2.0010911757787103e-07
0.0,0.65,2.1737353238478602e-07
0.0,0.7,2.3657468841649372e-07
0.05,0.0,1.7443750558373476e-07
0.05,0.05,2.5778088524250035e-07
0.05,0.1,3.3217047191406825e-07
0.05,0.15,3.793504622807043e-07
0.05,0.2,4.0854872732611073e-07
0.05,0.25,4.305329104343429e-07
0.05,0.3,4.509853514319586e-07
0.05,0.35,4.723668761276762e-07
0.05,0.4,4.957255125106834e-07
0.05,0.45,5.215676124506259e-07
0.05,0.5,5.502148140086259e-07
0.05,0.55,5.819428276499931e-07
0.05,0.6,6.170342440010397e-07
0.05,0.65,6.557981961570077e-07
0.05,0.7,6.985772049677799e-07
0.1,0.0,4.5352681097448015e-07
0.1,0.05,7.076412628680849e-07
0.1,0.1,9.416542687708551e-07
0.1,0.15,1.081444053207547e-06
0.1,0.2,1.1550612805660017e-06
0.1,0.25,1.1997820347769551e-06
0.1,0.3,1.235325150134788e-06
0.1,0.35,1.2699685713681442e-06
0.1,0.4,1.306965164959638e-06
0.1,0.45,1.3476302557897212e-06
0.1,0.5,1.3925917235050472e-06
0.1,0.55,1.4422680431281999e-06
0.1,0.6,1.4970469294421486e-06
0.1,0.65,1.5573512720359675e-06
0.1,0.7,1.623663345785199e-06
0.15,0.0,8.810746876187351e-07
0.15,0.05,1.4532429954139096e-06
0.15,0.1,2.0037895538462836e-06
0.15,0.15,2.323714875194533e-06
0.15,0.2,2.4744859847755406e-06
0.15,0.25,2.548773956612362e-06
0.15,0.3,2.595869133636764e-06
0.15,0.35,2.6362370375172333e-06
0.15,0.4,2.6776860906153524e-06
0.15,0.45,2.7231373899208216e-06
0.15,0.5,2.7737468999751346e-06
0.15,0.55,2.830087354261473e-06
0.15,0.6,2.892584329570382e-06
0.15,0.65,2.9616744272787027e-06
0.15,0.7,3.0378619303959772e-06
0.2,0.0,1.3727379179137804e-06
