lg_nw,r_nw,t_ox,N_sd,eps_ox
20,3,1,1.0e+20,22
vgs,vds,ids
0.0,0.0,9.494544073946332e-10
0.0,0.05,1.2716960902714952e-09
0.0,0.1,1.4847515202120308e-09
0.0,0.15,1.5775068009923128e-09
0.0,0.2,1.6062158109148527e-09
0.0,0.25,1.6101002093497955e-09
0.0,0.3,1.606218228977105e-09
0.0,0.35,1.6007534736543864e-09
0.0,0.4,1.5956718602277509e-09
0.0,0.45,1.591454692405944e-09
0.0,0.5,1.5881027443560412e-09
0.0,0.55,1.5854863836690002e-09
0.0,0.6,1.583460945182347e-09
0.0,0.65,1.5819002876210934e-09
0.0,0.7,1.5807029757258887e-09
0.05,0.0,7.263174409522354e-09
0.05,0.05,9.24886373612278e-09
0.05,0.1,1.0624802278489546e-08
0.05,0.15,1.1180764790650352e-08
0.05,0.2,1.1290312264682573e-08
0.05,0.25,1.1241281804093561e-08
0.05,0.3,1.1158120439111852e-08
0.05,0.35,1.1082730658808256e-08
0.05,0.4,1.1025624133763944e-08
0.05,0.45,1.0986927846862916e-08
0.05,0.5,1.0963921495753746e-08
0.05,0.55,1.0953534006868705e-08
0.05,0.6,1.095307149284937e-08
0.05,0.65,1.0960353952420734e-08
0.05,0.7,1.0973671288721525e-08
0.1,0.0,4.8840073777655615e-08
0.1,0.05,5.984981097038091e-08
0.1,0.1,6.822500480869929e-08
0.1,0.15,7.15852831594443e-08
0.1,0.2,7.204157978902166e-08
0.1,0.25,7.14838191424347e-08
0.1,0.3,7.07480975732397e-08
0.1,0.35,7.011013115932009e-08
0.1,0.4,6.963188094239615e-08
0.1,0.45,6.93061656839648e-08
0.1,0.5,6.910826880968993e-08
0.1,0.55,6.901266792854357e-08
0.1,0.6,6.899763640536703e-08
0.1,0.65,6.90458701088328e-08
0.1,0.7,6.914395392982133e-08
0.15,0.0,2.34337328090316e-07
0.15,0.05,3.017671840265496e-07
0.15,0.1,3.574169544551556e-07
0.15,0.15,3.8205141410198833e-07
0.15,0.2,3.8722173179492213e-07
0.15,0.25,3.850206639616223e-07
0.15,0.3,3.8106914189921416e-07
0.15,0.35,3.7732282282164034e-07
0.15,0.4,3.74295609510188e-07
0.15,0.45,3.7201671474806415e-07
0.15,0.5,3.7037939291482304e-07
0.15,0.55,3.692573283838779e-07
0.15,0.6,3.6853899871599193e-07
0.15,0.65,3.681345414211444e-07
0.15,0.7,3.6797416767281014e-07
0.2,0.0,6.435059595499828e-07
0.2,0.05,9.237814100647422e-07
0.2,0.1,1.1852978145636896e-06
0.2,0.15,1.3177883764606507e-06
0.2,0.2,1.358447502487463e-06
0.2,0.25,1.3605135774439022e-06
0.2,0.3,1.3507744928568258e-06
0.2,0.35,1.339269895413831e-06
0.2,0.4,1.3291114957353635e-06
0.2,0.45,1.3209478694567837e-06
0.2,0.5,1.3146495457542273e-06
0.2,0.55,1.309896609283456e-06
0.2,0.6,1.3063683855108327e-06
0.2,0.65,1.3037949286313565e-06
0.2,0.7,1.3019629764429035e-06
0.25,0.0,1.1323350016383915e-06
0.25,0.05,1.8117353987482753e-06
0.25,0.1,2.5302358747933076e-06
0.25,0.15,2.93428505686338e-06
0.25,0.2,3.0813928361820796e-06
0.25,0.25,3.11170739123515e-06
0.25,0.3,3.1017647028392463e-06
0.25,0.35,3.0818605863658416e-06
0.25,0.4,3.062227528547036e-06
0.25,0.45,3.045676014274925e-06
0.25,0.5,3.032515374866072e-06
0.25,0.55,3.022322515928035e-06
0.25,0.6,3.0145422446604964e-06
0.25,0.65,3.0086719009232877e-06
0.25,0.7,3.00430346017312e-06
0.3,0.0,1.5638565539449938e-06
0.3,0.05,2.7448758712160273e-06
0.3,0.1,4.128260660900428e-06
0.3,0.15,4.967777902886641e-06
0.3,0.2,5.303349513052891e-06
0.3,0.25,5.396273559321134e-06
0.3,0.3,5.399901825644144e-06
0.3,0.35,5.377338015735326e-06
0.3,0.4,5.3509375653835125e-06
0.3,0.45,5.3275701828488965e-06
0.3,0.5,5.308695115637002e-06
0.3,0.55,5.294055176857476e-06
0.3,0.6,5.282966295531717e-06
0.3,0.65,5.274738311170235e-06
0.3,0.7,5.268791146643665e-06
0.35,0.0,1.9151736103780063e-06
0.35,0.05,3.6265597900449137e-06
0.35,0.1,5.808301308594017e-06
0.35,0.15,7.217721603441356e-06
0.35,0.2,7.819475437162366e-06
0.35,0.25,8.012692218717312e-06
0.35,0.3,8.048574829654645e-06
0.35,0.35,8.033915063078202e-06
0.35,0.4,8.007796405490546e-06
0.35,0.45,7.98300961137988e-06
0.35,0.5,7.962934174288671e-06
0.35,0.55,7.947822305417865e-06
0.35,0.6,7.937033896306125e-06
0.35,0.65,7.929791867350639e-06
0.35,0.7,7.925410978994552e-06
0.4,0.0,2.1963808513307053e-06
0.4,0.05,4.412970732723394e-06
0.4,0.1,7.461452295325681e-06
0.4,0.15,9.550827754417518e-06
0.4,0.2,1.049486451354672e-05
0.4,0.25,1.0829796811507159e-05
0.4,0.3,1.0920986345145781e-05
0.4,0.35,1.092894884060343e-05
0.4,0.4,1.0914014624195202e-05
0.4,0.45,1.089679212933789e-05
0.4,0.5,1.0883395757662302e-05
0.4,0.55,1.0874967594929601e-05
0.4,0.6,1.0871113435857983e-05
0.4,0.65,1.0871092825051268e-05
0.4,0.7,1.0874200685862139e-05
0.45,0.0,2.413400456726763e-06
0.45,0.05,5.063095597367964e-06
0.45,0.1,8.982682204669505e-06
0.45,0.15,1.1838420951336095e-05
0.45,0.2,1.3200720975504191e-05
0.45,0.25,1.3723136017518047e-05
0.45,0.3,1.3896975441677669e-05
0.45,0.35,1.3946129340550692e-05
0.45,0.4,1.3956839526486693e-05
0.45,0.45,1.3959542351745718e-05
0.45,0.5,1.3963959342113004e-05
0.45,0.55,1.3972530558792064e-05
0.45,0.6,1.3985323954606202e-05
0.45,0.65,1.4001768035971322e-05
0.45,0.7,1.4021229826468673e-05
0.5,0.0,2.5678340490456847e-06
0.5,0.05,5.542163024988363e-06
0.5,0.1,1.0274325905697242e-05
0.5,0.15,1.3953471743006509e-05
0.5,0.2,1.5806528325511155e-05
0.5,0.25,1.6564802719132686e-05
0.5,0.3,1.6851724589100294e-05
0.5,0.35,1.6963492067910744e-05
0.5,0.4,1.7016976031391777e-05
0.5,0.45,1.705452823580644e-05
0.5,0.5,1.709038585066283e-05
0.5,0.55,1.712870725860447e-05
0.5,0.6,1.7170241212424417e-05
0.5,0.65,1.7214716902552078e-05
0.5,0.7,1.7261664545977362e-05
0.55,0.0,2.6621148722924763e-06
0.55,0.05,5.832620555701083e-06
0.55,0.1,1.1263086407252366e-05
0.55,0.15,1.578619163670035e-05
0.55,0.2,1.8193032381585752e-05
0.55,0.25,1.923482259198869e-05
0.55,0.3,1.9666206954317867e-05
0.55,0.35,1.9863205052089592e-05
0.55,0.4,1.9977819818138887e-05
0.55,0.45,2.0066376165614896e-05
0.55,0.5,2.014852359298261e-05
0.55,0.55,2.0230546127928658e-05
0.55,0.6,2.031407876962839e-05
0.55,0.65,2.0399271535658825e-05
0.55,0.7,2.048589966350547e-05
0.6,0.0,2.701783635256998e-06
0.6,0.05,5.937529011337283e-06
0.6,0.1,1.190919089479113e-05
0.6,0.15,1.7255541735045844e-05
0.6,0.2,2.0263820243516184e-05
0.6,0.25,2.1632635444049615e-05
0.6,0.3,2.223862115692064e-05
0.6,0.35,2.254299507335289e-05
0.6,0.4,2.273690148985042e-05
0.6,0.45,2.289255407588799e-05
0.6,0.5,2.30358486564893e-05
0.6,0.55,2.3175562241102404e-05
0.6,0.6,2.331439135438558e-05
0.6,0.65,2.3453003123760593e-05
0.6,0.7,2.3591480660859217e-05
0.65,0.0,2.6951665088472897e-06
0.65,0.05,5.877118184554925e-06
0.65,0.1,1.220630300434883e-05
0.65,0.15,1.831300061567691e-05
0.65,0.2,2.195041105712953e-05
0.65,0.25,2.3682880897522347e-05
0.65,0.3,2.449068537715635e-05
0.65,0.35,2.492287576212237e-05
0.65,0.4,2.5213027285599386e-05
0.65,0.45,2.5450928150263364e-05
0.65,0.5,2.5669451872642722e-05
0.65,0.55,2.588017343221781e-05
0.65,0.6,2.6086980771298154e-05
0.65,0.65,2.6291118717840062e-05
0.65,0.7,2.6493012296820736e-05
0.7,0.0,2.6519974714707365e-06
0.7,0.05,5.6824063266377475e-06
0.7,0.1,1.2175869486367357e-05
0.7,0.15,1.8940777236836233e-05
0.7,0.2,2.3211794937557117e-05
0.7,0.25,2.533555633325352e-05
0.7,0.3,2.6368263035729464e-05
0.7,0.35,2.694618146173971e-05
0.7,0.4,2.7347702225602477e-05
0.7,0.45,2.7681578029574642e-05
0.7,0.5,2.7988259855415455e-05
0.7,0.55,2.828234633430303e-05
0.7,0.6,2.856898864023849e-05
0.7,0.65,2.8850023384562065e-05
0.7,0.7,2.9126213099480758e-05
