vg      	vd      	ids     
0       	0       	1.811e-13
0       	0.05    	3.1734e-11
0       	0.1     	3.6831e-11
0       	0.15    	3.8022e-11
0       	0.2     	3.8615e-11
0       	0.25    	3.9099e-11
0       	0.3     	3.9548e-11
0       	0.35    	3.9973e-11
0       	0.4     	4.0377e-11
0       	0.45    	4.0763e-11
0       	0.5     	4.1131e-11
0       	0.55    	4.1482e-11
0       	0.6     	4.1814e-11
0       	0.65    	4.2128e-11
0       	0.7     	4.2422e-11
0.05    	0       	1.216e-12
0.05    	0.05    	2.1086e-10
0.05    	0.1     	2.4518e-10
0.05    	0.15    	2.5335e-10
0.05    	0.2     	2.5747e-10
0.05    	0.25    	2.6083e-10
0.05    	0.3     	2.6392e-10
0.05    	0.35    	2.6683e-10
0.05    	0.4     	2.6955e-10
0.05    	0.45    	2.7209e-10
0.05    	0.5     	2.7445e-10
0.05    	0.55    	2.7665e-10
0.05    	0.6     	2.7867e-10
0.05    	0.65    	2.8053e-10
0.05    	0.7     	2.8223e-10
0.1     	0       	8.63e-12
0.1     	0.05    	1.3983e-09
0.1     	0.1     	1.6277e-09
0.1     	0.15    	1.6838e-09
0.1     	0.2     	1.7124e-09
0.1     	0.25    	1.7354e-09
0.1     	0.3     	1.7561e-09
0.1     	0.35    	1.775e-09
0.1     	0.4     	1.7922e-09
0.1     	0.45    	1.8077e-09
0.1     	0.5     	1.8216e-09
0.1     	0.55    	1.8341e-09
0.1     	0.6     	1.8455e-09
0.1     	0.65    	1.856e-09
0.1     	0.7     	1.8658e-09
0.15    	0       	5.5139e-11
0.15    	0.05    	8.8525e-09
0.15    	0.1     	1.0372e-08
0.15    	0.15    	1.0748e-08
0.15    	0.2     	1.0935e-08
0.15    	0.25    	1.1078e-08
0.15    	0.3     	1.1199e-08
0.15    	0.35    	1.1305e-08
0.15    	0.4     	1.1398e-08
0.15    	0.45    	1.1481e-08
0.15    	0.5     	1.1555e-08
0.15    	0.55    	1.1624e-08
0.15    	0.6     	1.1688e-08
0.15    	0.65    	1.1748e-08
0.15    	0.7     	1.1805e-08
0.2     	0       	3.211e-10
0.2     	0.05    	5.2311e-08
0.2     	0.1     	6.1883e-08
0.2     	0.15    	6.4173e-08
0.2     	0.2     	6.519e-08
0.2     	0.25    	6.59e-08
0.2     	0.3     	6.6483e-08
0.2     	0.35    	6.6991e-08
0.2     	0.4     	6.745e-08
0.2     	0.45    	6.7874e-08
0.2     	0.5     	6.8269e-08
0.2     	0.55    	6.8639e-08
0.2     	0.6     	6.8989e-08
0.2     	0.65    	6.9323e-08
0.2     	0.7     	6.9642e-08
0.25    	0       	1.4216e-09
0.25    	0.05    	2.5136e-07
0.25    	0.1     	3.049e-07
0.25    	0.15    	3.1687e-07
0.25    	0.2     	3.2118e-07
0.25    	0.25    	3.2395e-07
0.25    	0.3     	3.2625e-07
0.25    	0.35    	3.2829e-07
0.25    	0.4     	3.3015e-07
0.25    	0.45    	3.3188e-07
0.25    	0.5     	3.335e-07
0.25    	0.55    	3.3502e-07
