vg      	vd      	ids     
0       	0       	6.2456e-13
0       	0.05    	8.7421e-10
0       	0.1     	1.4743e-09
0       	0.15    	1.9007e-09
0       	0.2     	2.1991e-09
0       	0.25    	2.4128e-09
0       	0.3     	2.5678e-09
0       	0.35    	2.6823e-09
0       	0.4     	2.7686e-09
0       	0.45    	2.8351e-09
0       	0.5     	2.8882e-09
0       	0.55    	2.932e-09
0       	0.6     	2.9694e-09
0       	0.65    	3.0023e-09
0       	0.7     	3.0321e-09
0       	0.75    	3.0598e-09
0       	0.8     	3.0859e-09
0       	0.85    	3.1109e-09
0       	0.9     	3.1352e-09
0       	0.95    	3.1588e-09
0       	1.0     	3.1821e-09
0       	1.05    	3.205e-09
0       	1.1     	3.2276e-09
0       	1.15    	3.2501e-09
0       	1.2     	3.2723e-09
0       	1.25    	3.2943e-09
0       	1.3     	3.3162e-09
0       	1.35    	3.3379e-09
0       	1.4     	3.3594e-09
0       	1.45    	3.3807e-09
0       	1.5     	3.4018e-09
0       	1.55    	3.4227e-09
0       	1.6     	3.4434e-09
0       	1.65    	3.4638e-09
0       	1.7     	3.4839e-09
0       	1.75    	3.5038e-09
0       	1.8     	3.5234e-09
0       	1.85    	3.5427e-09
0       	1.9     	3.5616e-09
0       	1.95    	3.5803e-09
0       	2.0     	3.5986e-09
0       	2.05    	3.6166e-09
0       	2.1     	3.6343e-09
0       	2.15    	3.6517e-09
0       	2.2     	3.6689e-09
0       	2.25    	3.6857e-09
0       	2.3     	3.7023e-09
0       	2.35    	3.7187e-09
0       	2.4     	3.7349e-09
0       	2.45    	3.7509e-09
0       	2.5     	3.7668e-09
0       	2.55    	3.7824e-09
0       	2.6     	3.798e-09
0       	2.65    	3.8134e-09
0       	2.7     	3.8286e-09
0       	2.75    	3.8438e-09
0       	2.8     	3.8589e-09
0       	2.85    	3.8739e-09
0       	2.9     	3.8888e-09
0       	2.95    	3.9036e-09
0       	3.0     	3.9184e-09
0       	3.05    	3.9331e-09
0       	3.1     	3.9477e-09
0       	3.15    	3.9622e-09
0       	3.2     	3.9767e-09
0       	3.25    	3.9912e-09
0       	3.3     	4.0056e-09
0       	3.35    	4.0199e-09
0       	3.4     	4.0342e-09
0       	3.45    	4.0484e-09
0       	3.5     	4.0626e-09
0       	3.55    	4.0768e-09
0       	3.6     	4.0909e-09
0       	3.65    	4.105e-09
0       	3.7     	4.119e-09
0       	3.75    	4.133e-09
0       	3.8     	4.147e-09
0       	3.85    	4.1609e-09
0       	3.9     	4.1748e-09
0       	3.95    	4.1886e-09
0       	4.0     	4.2024e-09
0.05    	0       	7.7701e-13
0.05    	0.05    	1.2473e-09
0.05    	0.1     	2.1051e-09
0.05    	0.15    	2.7103e-09
0.05    	0.2     	3.1431e-09
0.05    	0.25    	3.4493e-09
0.05    	0.3     	3.6714e-09
0.05    	0.35    	3.8354e-09
0.05    	0.4     	3.9594e-09
0.05    	0.45    	4.0553e-09
0.05    	0.5     	4.1317e-09
0.05    	0.55    	4.1947e-09
0.05    	0.6     	4.2485e-09
0.05    	0.65    	4.2959e-09
0.05    	0.7     	4.3387e-09
0.05    	0.75    	4.3785e-09
0.05    	0.8     	4.416e-09
0.05    	0.85    	4.452e-09
0.05    	0.9     	4.4868e-09
0.05    	0.95    	4.5208e-09
0.05    	1.0     	4.5541e-09
0.05    	1.05    	4.5869e-09
0.05    	1.1     	4.6193e-09
0.05    	1.15    	4.6514e-09
0.05    	1.2     	4.6831e-09
0.05    	1.25    	4.7146e-09
0.05    	1.3     	4.7457e-09
0.05    	1.35    	4.7765e-09
0.05    	1.4     	4.807e-09
0.05    	1.45    	4.8372e-09
0.05    	1.5     	4.867e-09
0.05    	1.55    	4.8964e-09
0.05    	1.6     	4.9254e-09
0.05    	1.65    	4.954e-09
0.05    	1.7     	4.9821e-09
0.05    	1.75    	5.0098e-09
0.05    	1.8     	5.037e-09
0.05    	1.85    	5.0637e-09
0.05    	1.9     	5.0899e-09
0.05    	1.95    	5.1156e-09
0.05    	2.0     	5.1409e-09
0.05    	2.05    	5.1658e-09
0.05    	2.1     	5.1902e-09
0.05    	2.15    	5.2143e-09
0.05    	2.2     	5.238e-09
0.05    	2.25    	5.2614e-09
0.05    	2.3     	5.2845e-09
0.05    	2.35    	5.3074e-09
0.05    	2.4     	5.3299e-09
0.05    	2.45    	5.3523e-09
0.05    	2.5     	5.3745e-09
0.05    	2.55    	5.3965e-09
0.05    	2.6     	5.4183e-09
0.05    	2.65    	5.44e-09
0.05    	2.7     	5.4616e-09
0.05    	2.75    	5.483e-09
0.05    	2.8     	5.5043e-09
0.05    	2.85    	5.5255e-09
0.05    	2.9     	5.5466e-09
0.05    	2.95    	5.5676e-09
0.05    	3.0     	5.5885e-09
0.05    	3.05    	5.6093e-09
0.05    	3.1     	5.6301e-09
0.05    	3.15    	5.6508e-09
0.05    	3.2     	5.6714e-09
0.05    	3.25    	5.6919e-09
0.05    	3.3     	5.7124e-09
0.05    	3.35    	5.7328e-09
0.05    	3.4     	5.7531e-09
0.05    	3.45    	5.7734e-09
0.05    	3.5     	5.7936e-09
0.05    	3.55    	5.8138e-09
0.05    	3.6     	5.8339e-09
0.05    	3.65    	5.8539e-09
0.05    	3.7     	5.8739e-09
0.05    	3.75    	5.8938e-09
0.05    	3.8     	5.9137e-09
0.05    	3.85    	5.9335e-09
0.05    	3.9     	5.9533e-09
0.05    	3.95    	5.9731e-09
0.05    	4.0     	5.9928e-09
0.1     	0       	1.4238e-12
0.1     	0.05    	1.7768e-09
0.1     	0.1     	3.001e-09
0.1     	0.15    	3.866e-09
0.1     	0.2     	4.4805e-09
0.1     	0.25    	4.9242e-09
0.1     	0.3     	5.2425e-09
