lg_nw,r_nw,t_ox,N_sd,eps_ox,index
18,2,0.5,2.0e+20,22,400
12,3,1.5,2.0e+20,3.9,401
18,3,1,1.0e+20,7.5,402
14,3,0.5,5.0e+19,22,403
12,5,1.5,5.0e+19,7.5,404
12,4,1,1.0e+20,22,405
14,4,0.5,2.0e+20,22,406
18,5,0.5,5.0e+19,22,407
10,3,0.5,1.0e+20,22,408
16,2,1.5,2.0e+20,22,409
18,3,1,2.0e+20,22,410
14,3,0.5,5.0e+19,3.9,411
16,4,1.5,2.0e+20,7.5,412
16,2,1.5,1.0e+20,22,413
20,5,1,2.0e+20,3.9,414
20,4,0.5,2.0e+20,7.5,415
18,2,1,5.0e+19,3.9,416
18,5,1,5.0e+19,22,417
10,3,1,5.0e+19,3.9,418
14,5,1,5.0e+19,3.9,419
10,2,0.5,2.0e+20,3.9,420
12,3,1.5,2.0e+20,22,421
18,2,0.5,5.0e+19,3.9,422
10,5,0.5,2.0e+20,22,423
10,3,1,1.0e+20,7.5,424
10,4,0.5,5.0e+19,7.5,425
12,5,1,2.0e+20,7.5,426
16,3,1,2.0e+20,7.5,427
16,5,1,1.0e+20,7.5,428
14,3,1.5,1.0e+20,3.9,429
18,4,0.5,2.0e+20,7.5,430
10,2,1.5,1.0e+20,3.9,431
10,4,1,1.0e+20,7.5,432
14,5,0.5,1.0e+20,3.9,433
16,4,1,1.0e+20,22,434
16,2,1.5,5.0e+19,3.9,435
10,4,0.5,1.0e+20,3.9,436
10,2,0.5,5.0e+19,22,437
16,2,1,1.0e+20,7.5,438
12,4,1.5,5.0e+19,22,439
20,2,0.5,5.0e+19,3.9,440
20,3,1.5,2.0e+20,3.9,441
16,4,0.5,2.0e+20,22,442
14,2,1.5,2.0e+20,22,443
16,3,0.5,2.0e+20,3.9,444
18,3,1.5,5.0e+19,22,445
18,3,0.5,1.0e+20,7.5,446
12,3,1,5.0e+19,7.5,447
16,5,1,5.0e+19,7.5,448
18,5,1.5,1.0e+20,7.5,449
18,5,1.5,5.0e+19,7.5,450
10,5,1.5,2.0e+20,7.5,451
18,3,1.5,2.0e+20,3.9,452
18,4,1.5,2.0e+20,22,453
10,5,1,2.0e+20,3.9,454
14,5,1.5,5.0e+19,22,455
14,3,1,2.0e+20,3.9,456
16,3,0.5,5.0e+19,22,457
10,3,1.5,5.0e+19,3.9,458
20,5,1.5,5.0e+19,7.5,459
14,4,1.5,1.0e+20,22,460
16,5,0.5,5.0e+19,7.5,461
20,3,1,5.0e+19,3.9,462
18,4,1,2.0e+20,3.9,463
12,2,0.5,5.0e+19,22,464
14,2,1.5,2.0e+20,3.9,465
12,5,0.5,1.0e+20,22,466
10,4,1.5,5.0e+19,22,467
12,4,0.5,2.0e+20,7.5,468
18,4,0.5,1.0e+20,22,469
10,3,1.5,2.0e+20,22,470
12,2,0.5,5.0e+19,3.9,471
10,3,0.5,1.0e+20,3.9,472
12,5,0.5,2.0e+20,22,473
14,2,0.5,1.0e+20,3.9,474
10,5,1.5,1.0e+20,3.9,475
14,4,1.5,5.0e+19,7.5,476
14,4,1.5,1.0e+20,3.9,477
16,2,1.5,1.0e+20,7.5,478
10,5,1.5,5.0e+19,3.9,479
12,3,1.5,1.0e+20,7.5,480
16,5,1,2.0e+20,3.9,481
12,3,1,2.0e+20,3.9,482
18,5,1.5,2.0e+20,3.9,483
18,5,1.5,5.0e+19,22,484
14,4,1.5,2.0e+20,22,485
16,3,0.5,5.0e+19,7.5,486
16,2,0.5,2.0e+20,22,487
16,4,0.5,1.0e+20,7.5,488
18,2,1,2.0e+20,22,489
12,5,0.5,1.0e+20,7.5,490
10,5,1,1.0e+20,22,491
20,3,1.5,5.0e+19,7.5,492
16,5,0.5,2.0e+20,3.9,493
18,4,1,5.0e+19,7.5,494
20,3,1,2.0e+20,7.5,495
20,5,1.5,2.0e+20,3.9,496
16,4,0.5,1.0e+20,22,497
20,3,1,1.0e+20,22,498
10,3,1.5,2.0e+20,7.5,499
18,2,0.5,2.0e+20,22,400
12,3,1.5,2.0e+20,3.9,401
18,3,1,1.0e+20,7.5,402
14,3,0.5,5.0e+19,22,403
12,5,1.5,5.0e+19,7.5,404
12,4,1,1.0e+20,22,405
14,4,0.5,2.0e+20,22,406
18,5,0.5,5.0e+19,22,407
10,3,0.5,1.0e+20,22,408
16,2,1.5,2.0e+20,22,409
18,3,1,2.0e+20,22,410
14,3,0.5,5.0e+19,3.9,411
16,4,1.5,2.0e+20,7.5,412
16,2,1.5,1.0e+20,22,413
20,5,1,2.0e+20,3.9,414
20,4,0.5,2.0e+20,7.5,415
18,2,1,5.0e+19,3.9,416
18,5,1,5.0e+19,22,417
10,3,1,5.0e+19,3.9,418
14,5,1,5.0e+19,3.9,419
10,2,0.5,2.0e+20,3.9,420
12,3,1.5,2.0e+20,22,421
18,2,0.5,5.0e+19,3.9,422
10,5,0.5,2.0e+20,22,423
10,3,1,1.0e+20,7.5,424
10,4,0.5,5.0e+19,7.5,425
12,5,1,2.0e+20,7.5,426
16,3,1,2.0e+20,7.5,427
16,5,1,1.0e+20,7.5,428
14,3,1.5,1.0e+20,3.9,429
18,4,0.5,2.0e+20,7.5,430
10,2,1.5,1.0e+20,3.9,431
10,4,1,1.0e+20,7.5,432
14,5,0.5,1.0e+20,3.9,433
16,4,1,1.0e+20,22,434
16,2,1.5,5.0e+19,3.9,435
10,4,0.5,1.0e+20,3.9,436
10,2,0.5,5.0e+19,22,437
16,2,1,1.0e+20,7.5,438
12,4,1.5,5.0e+19,22,439
20,2,0.5,5.0e+19,3.9,440
20,3,1.5,2.0e+20,3.9,441
16,4,0.5,2.0e+20,22,442
14,2,1.5,2.0e+20,22,443
16,3,0.5,2.0e+20,3.9,444
18,3,1.5,5.0e+19,22,445
18,3,0.5,1.0e+20,7.5,446
12,3,1,5.0e+19,7.5,447
16,5,1,5.0e+19,7.5,448
18,5,1.5,1.0e+20,7.5,449
18,5,1.5,5.0e+19,7.5,450
10,5,1.5,2.0e+20,7.5,451
18,3,1.5,2.0e+20,3.9,452
18,4,1.5,2.0e+20,22,453
10,5,1,2.0e+20,3.9,454
14,5,1.5,5.0e+19,22,455
14,3,1,2.0e+20,3.9,456
16,3,0.5,5.0e+19,22,457
10,3,1.5,5.0e+19,3.9,458
20,5,1.5,5.0e+19,7.5,459
14,4,1.5,1.0e+20,22,460
16,5,0.5,5.0e+19,7.5,461
20,3,1,5.0e+19,3.9,462
18,4,1,2.0e+20,3.9,463
12,2,0.5,5.0e+19,22,464
14,2,1.5,2.0e+20,3.9,465
12,5,0.5,1.0e+20,22,466
10,4,1.5,5.0e+19,22,467
12,4,0.5,2.0e+20,7.5,468
18,4,0.5,1.0e+20,22,469
10,3,1.5,2.0e+20,22,470
12,2,0.5,5.0e+19,3.9,471
10,3,0.5,1.0e+20,3.9,472
12,5,0.5,2.0e+20,22,473
14,2,0.5,1.0e+20,3.9,474
10,5,1.5,1.0e+20,3.9,475
14,4,1.5,5.0e+19,7.5,476
14,4,1.5,1.0e+20,3.9,477
16,2,1.5,1.0e+20,7.5,478
10,5,1.5,5.0e+19,3.9,479
