vg      	vd      	ids     
0       	0       	1.1085e-16
0       	0.05    	6.4077e-14
0       	0.1     	7.3469e-14
0       	0.15    	7.4902e-14
0       	0.2     	7.5175e-14
0       	0.25    	7.5274e-14
0       	0.3     	7.5345e-14
0       	0.35    	7.5408e-14
0       	0.4     	7.5467e-14
0       	0.45    	7.5522e-14
0       	0.5     	7.5575e-14
0       	0.55    	7.5625e-14
0       	0.6     	7.5672e-14
0       	0.65    	7.5718e-14
0       	0.7     	7.5761e-14
0.05    	0       	4.4261e-16
0.05    	0.05    	4.4655e-13
0.05    	0.1     	5.1108e-13
0.05    	0.15    	5.21e-13
0.05    	0.2     	5.2293e-13
0.05    	0.25    	5.2365e-13
0.05    	0.3     	5.2417e-13
0.05    	0.35    	5.2464e-13
0.05    	0.4     	5.2506e-13
0.05    	0.45    	5.2547e-13
0.05    	0.5     	5.2585e-13
0.05    	0.55    	5.2621e-13
0.05    	0.6     	5.2655e-13
0.05    	0.65    	5.2687e-13
0.05    	0.7     	5.2719e-13
0.1     	0       	3.773e-15
0.1     	0.05    	3.0704e-12
0.1     	0.1     	3.5208e-12
0.1     	0.15    	3.5893e-12
0.1     	0.2     	3.6029e-12
0.1     	0.25    	3.6082e-12
0.1     	0.3     	3.612e-12
0.1     	0.35    	3.6153e-12
0.1     	0.4     	3.6184e-12
0.1     	0.45    	3.6213e-12
0.1     	0.5     	3.6241e-12
0.1     	0.55    	3.6267e-12
0.1     	0.6     	3.6291e-12
0.1     	0.65    	3.6314e-12
0.1     	0.7     	3.6336e-12
0.15    	0       	3.7693e-14
0.15    	0.05    	2.1065e-11
0.15    	0.1     	2.4164e-11
0.15    	0.15    	2.4645e-11
0.15    	0.2     	2.4741e-11
0.15    	0.25    	2.4779e-11
0.15    	0.3     	2.4807e-11
0.15    	0.35    	2.4832e-11
0.15    	0.4     	2.4855e-11
0.15    	0.45    	2.4875e-11
0.15    	0.5     	2.4895e-11
0.15    	0.55    	2.4913e-11
0.15    	0.6     	2.4931e-11
0.15    	0.65    	2.4947e-11
0.15    	0.7     	2.4963e-11
0.2     	0       	1.4552e-13
0.2     	0.05    	1.4603e-10
0.2     	0.1     	1.6732e-10
0.2     	0.15    	1.7065e-10
0.2     	0.2     	1.7134e-10
0.2     	0.25    	1.7163e-10
0.2     	0.3     	1.7184e-10
0.2     	0.35    	1.7202e-10
0.2     	0.4     	1.7218e-10
0.2     	0.45    	1.7234e-10
0.2     	0.5     	1.7248e-10
0.2     	0.55    	1.7261e-10
0.2     	0.6     	1.7274e-10
0.2     	0.65    	1.7286e-10
0.2     	0.7     	1.7297e-10
0.25    	0       	1.1804e-12
0.25    	0.05    	9.9594e-10
0.25    	0.1     	1.1439e-09
0.25    	0.15    	1.1671e-09
0.25    	0.2     	1.172e-09
0.25    	0.25    	1.1741e-09
0.25    	0.3     	1.1757e-09
0.25    	0.35    	1.177e-09
0.25    	0.4     	1.1782e-09
0.25    	0.45    	1.1793e-09
0.25    	0.5     	1.1803e-09
0.25    	0.55    	1.1813e-09
0.25    	0.6     	1.1822e-09
0.25    	0.65    	1.183e-09
0.25    	0.7     	1.1838e-09
0.3     	0       	6.0154e-12
0.3     	0.05    	6.6853e-09
