lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
10,3,2,1.5,1.0e+20,22,0
20,3,3,1.5,2.0e+20,22,1
14,3,3,0.5,2.0e+20,22,2
18,3,2,1.5,2.0e+20,22,3
20,2,2,1,2.0e+20,22,4
16,4,2,1,2.0e+20,3.9,5
20,4,3,0.5,5.0e+19,22,6
20,4,2,1,1.0e+20,3.9,7
14,4,3,1.5,5.0e+19,22,8
16,2,2,0.5,2.0e+20,22,9
20,4,3,1,2.0e+20,3.9,10
18,4,2,0.5,5.0e+19,22,11
10,4,4,1.5,5.0e+19,22,12
18,4,3,1.5,1.0e+20,22,13
10,3,3,0.5,5.0e+19,22,14
16,2,2,1,5.0e+19,7.5,15
14,3,2,1.5,1.0e+20,3.9,16
18,4,4,0.5,1.0e+20,3.9,17
20,4,2,1.5,1.0e+20,22,18
16,4,3,1.5,1.0e+20,3.9,19
10,4,3,1,5.0e+19,3.9,20
18,4,2,1.5,1.0e+20,3.9,21
14,4,4,1.5,2.0e+20,22,22
10,4,3,1.5,2.0e+20,22,23
12,2,2,0.5,5.0e+19,22,24
18,4,3,1,2.0e+20,3.9,25
20,4,4,0.5,2.0e+20,22,26
16,3,2,0.5,2.0e+20,22,27
14,4,2,1.5,5.0e+19,7.5,28
12,4,3,0.5,5.0e+19,3.9,29
16,2,2,1.5,2.0e+20,7.5,30
12,3,2,1,2.0e+20,7.5,31
18,2,2,1.5,2.0e+20,22,32
14,3,3,0.5,5.0e+19,7.5,33
16,4,2,1.5,5.0e+19,22,34
18,2,2,0.5,1.0e+20,22,35
14,4,4,1,2.0e+20,3.9,36
16,4,4,0.5,2.0e+20,3.9,37
12,3,2,1.5,5.0e+19,3.9,38
12,3,2,1,1.0e+20,22,39
10,4,3,1.5,5.0e+19,3.9,40
14,2,2,0.5,2.0e+20,7.5,41
20,4,3,1.5,2.0e+20,7.5,42
10,2,2,0.5,1.0e+20,7.5,43
14,4,2,0.5,1.0e+20,7.5,44
14,4,2,1.5,1.0e+20,22,45
12,3,3,1,1.0e+20,7.5,46
12,3,2,0.5,5.0e+19,22,47
18,3,2,1.5,5.0e+19,3.9,48
16,3,3,0.5,1.0e+20,7.5,49
16,4,2,0.5,5.0e+19,7.5,50
14,3,3,1,5.0e+19,7.5,51
20,3,2,0.5,2.0e+20,7.5,52
18,3,2,0.5,1.0e+20,7.5,53
16,4,2,1,1.0e+20,7.5,54
10,3,2,0.5,5.0e+19,3.9,55
14,4,4,1.5,1.0e+20,7.5,56
14,4,4,1.5,2.0e+20,3.9,57
18,2,2,1,1.0e+20,22,58
18,4,3,0.5,5.0e+19,3.9,59
16,3,3,1.5,5.0e+19,7.5,60
12,4,2,1.5,2.0e+20,22,61
12,4,3,1,2.0e+20,3.9,62
12,4,4,1.5,5.0e+19,7.5,63
18,4,2,1.5,2.0e+20,3.9,64
16,3,2,0.5,2.0e+20,7.5,65
20,2,2,0.5,1.0e+20,7.5,66
20,4,2,1.5,2.0e+20,22,67
20,3,2,1,1.0e+20,3.9,68
20,3,3,1.5,5.0e+19,7.5,69
10,3,3,1.5,2.0e+20,3.9,70
