lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
18,4,3,1.5,5.0e+19,22,300
12,4,3,1.5,5.0e+19,3.9,301
18,2,2,1,1.0e+20,7.5,302
16,2,2,0.5,2.0e+20,7.5,303
12,3,3,1,2.0e+20,7.5,304
14,4,2,0.5,5.0e+19,22,305
10,4,4,0.5,1.0e+20,3.9,306
10,4,2,1,5.0e+19,3.9,307
10,4,3,1,1.0e+20,3.9,308
18,4,2,1,2.0e+20,3.9,309
12,3,3,1.5,5.0e+19,22,310
10,4,4,1,1.0e+20,3.9,311
14,3,2,1,1.0e+20,3.9,312
12,3,3,1.5,1.0e+20,3.9,313
20,2,2,1,5.0e+19,7.5,314
10,2,2,1,1.0e+20,3.9,315
16,4,4,0.5,2.0e+20,22,316
10,4,2,1.5,1.0e+20,3.9,317
10,2,2,1.5,5.0e+19,22,318
12,4,3,0.5,2.0e+20,22,319
14,2,2,1.5,1.0e+20,3.9,320
16,3,3,1.5,2.0e+20,22,321
16,4,2,1.5,1.0e+20,22,322
16,4,3,1,2.0e+20,3.9,323
20,4,2,1,2.0e+20,3.9,324
14,2,2,1.5,2.0e+20,22,325
16,4,3,0.5,5.0e+19,22,326
12,4,4,0.5,5.0e+19,22,327
10,2,2,1,2.0e+20,7.5,328
20,3,3,1.5,1.0e+20,7.5,329
20,2,2,0.5,2.0e+20,22,330
18,2,2,1,5.0e+19,7.5,331
20,4,3,0.5,1.0e+20,22,332
14,4,4,1.5,5.0e+19,22,333
10,4,3,1.5,5.0e+19,22,334
12,2,2,0.5,2.0e+20,22,335
12,4,4,0.5,1.0e+20,7.5,336
18,3,3,1,2.0e+20,7.5,337
10,3,3,1,5.0e+19,7.5,338
20,4,4,0.5,5.0e+19,22,339
18,4,2,0.5,1.0e+20,22,340
10,3,3,0.5,2.0e+20,22,341
10,4,4,0.5,1.0e+20,22,342
10,3,3,1.5,1.0e+20,7.5,343
20,4,4,1,5.0e+19,3.9,344
12,4,2,1.5,1.0e+20,7.5,345
16,2,2,1.5,1.0e+20,7.5,346
20,3,3,1,2.0e+20,7.5,347
20,4,3,0.5,2.0e+20,22,348
10,3,3,0.5,1.0e+20,22,349
20,4,4,0.5,1.0e+20,3.9,350
16,3,2,1,2.0e+20,7.5,351
14,4,3,1.5,2.0e+20,22,352
16,2,2,0.5,5.0e+19,22,353
18,4,2,0.5,2.0e+20,22,354
10,4,4,1.5,2.0e+20,22,355
20,4,2,1.5,1.0e+20,3.9,356
10,4,4,1,2.0e+20,3.9,357
20,3,3,1.5,5.0e+19,22,358
14,2,2,1.5,1.0e+20,22,359
20,2,2,1,5.0e+19,22,360
14,3,2,1,1.0e+20,22,361
14,3,3,0.5,5.0e+19,22,362
18,3,3,1,1.0e+20,7.5,363
18,4,4,1,5.0e+19,3.9,364
18,3,2,1.5,5.0e+19,22,365
12,4,2,0.5,2.0e+20,3.9,366
12,2,2,1,5.0e+19,7.5,367
18,4,4,0.5,5.0e+19,7.5,368
14,4,3,0.5,1.0e+20,22,369
14,4,2,1,1.0e+20,3.9,370
10,2,2,0.5,5.0e+19,3.9,371
12,4,2,1.5,5.0e+19,22,372
14,4,3,1.5,2.0e+20,7.5,373
20,2,2,0.5,2.0e+20,7.5,374
18,3,3,1,1.0e+20,22,375
14,4,3,1,5.0e+19,3.9,376
12,3,3,1.5,2.0e+20,3.9,377
18,2,2,1.5,5.0e+19,3.9,378
12,3,2,0.5,2.0e+20,22,379
10,3,3,1,1.0e+20,3.9,380
10,4,3,0.5,1.0e+20,3.9,381
20,4,4,1.5,2.0e+20,3.9,382
10,4,4,1.5,5.0e+19,7.5,383
14,3,2,0.5,2.0e+20,7.5,384
12,3,2,0.5,1.0e+20,3.9,385
18,3,3,1.5,2.0e+20,3.9,386
12,2,2,1.5,5.0e+19,3.9,387
16,4,3,0.5,2.0e+20,7.5,388
18,2,2,1.5,5.0e+19,22,389
16,4,2,1.5,2.0e+20,22,390
10,4,2,1.5,2.0e+20,3.9,391
20,4,2,1.5,5.0e+19,7.5,392
20,2,2,1.5,1.0e+20,22,393
20,3,2,0.5,1.0e+20,7.5,394
18,4,2,0.5,2.0e+20,3.9,395
16,3,2,1.5,2.0e+20,7.5,396
16,3,2,0.5,5.0e+19,22,397
12,4,2,1,2.0e+20,3.9,398
12,4,4,0.5,5.0e+19,7.5,399
20,3,3,0.5,5.0e+19,7.5,400
10,3,3,0.5,2.0e+20,3.9,401
10,3,3,1.5,5.0e+19,22,402
12,3,3,0.5,1.0e+20,3.9,403
14,3,3,1,1.0e+20,3.9,404
14,2,2,0.5,1.0e+20,3.9,405
10,4,2,0.5,5.0e+19,7.5,406
20,4,2,0.5,2.0e+20,3.9,407
10,4,2,0.5,1.0e+20,3.9,408
14,4,4,0.5,1.0e+20,22,409
12,2,2,0.5,2.0e+20,7.5,410
16,4,3,1.5,5.0e+19,3.9,411
14,2,2,1,5.0e+19,3.9,412
18,3,3,0.5,5.0e+19,7.5,413
20,3,3,1.5,2.0e+20,3.9,414
10,3,3,1.5,5.0e+19,7.5,415
14,4,4,0.5,2.0e+20,22,416
10,4,3,0.5,2.0e+20,22,417
12,2,2,1.5,5.0e+19,22,418
18,4,3,1,1.0e+20,22,419
16,3,2,0.5,5.0e+19,3.9,420
18,4,2,1.5,5.0e+19,7.5,421
12,4,3,1,5.0e+19,7.5,422
12,4,4,1.5,2.0e+20,3.9,423
20,4,4,1.5,2.0e+20,22,424
10,4,2,1,1.0e+20,3.9,425
10,4,4,1.5,1.0e+20,3.9,426
10,2,2,1.5,2.0e+20,7.5,427
14,4,3,0.5,5.0e+19,3.9,428
20,2,2,1.5,5.0e+19,3.9,429
20,3,3,0.5,2.0e+20,22,430
10,2,2,1.5,1.0e+20,22,431
20,4,4,1,1.0e+20,22,432
14,3,3,1.5,2.0e+20,22,433
12,4,2,1.5,5.0e+19,7.5,434
18,4,4,1.5,2.0e+20,3.9,435
18,3,2,0.5,2.0e+20,22,436
20,3,3,0.5,1.0e+20,7.5,437
20,4,4,0.5,5.0e+19,7.5,438
10,4,4,0.5,2.0e+20,3.9,439
14,3,2,1.5,5.0e+19,3.9,440
20,4,3,1.5,5.0e+19,22,441
