lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
18,2,2,1.5,5.0e+19,7.5,601
14,4,3,1,5.0e+19,7.5,602
14,4,3,1.5,2.0e+20,3.9,603
20,2,2,0.5,2.0e+20,3.9,604
10,2,2,0.5,5.0e+19,7.5,605
18,4,4,1,1.0e+20,22,606
18,4,4,0.5,5.0e+19,3.9,607
12,2,2,1,5.0e+19,3.9,608
12,4,2,0.5,2.0e+20,7.5,609
14,4,2,1,1.0e+20,7.5,610
14,4,3,1,5.0e+19,22,611
10,3,3,0.5,2.0e+20,7.5,612
20,3,3,0.5,5.0e+19,3.9,613
16,2,2,1,5.0e+19,22,614
20,3,2,0.5,1.0e+20,3.9,615
20,4,3,1,1.0e+20,22,616
12,4,4,0.5,5.0e+19,3.9,617
12,4,2,1,2.0e+20,7.5,618
18,4,2,0.5,2.0e+20,7.5,619
16,3,2,1.5,2.0e+20,3.9,620
20,4,2,1.5,5.0e+19,3.9,621
10,4,2,1.5,2.0e+20,7.5,622
18,3,3,1.5,2.0e+20,7.5,623
16,4,3,0.5,2.0e+20,3.9,624
12,2,2,1.5,5.0e+19,7.5,625
20,4,4,1,5.0e+19,7.5,626
12,3,2,1,5.0e+19,22,627
10,3,3,1.5,1.0e+20,3.9,628
16,2,2,1.5,1.0e+20,3.9,629
12,4,2,1.5,1.0e+20,3.9,630
10,3,3,1,5.0e+19,3.9,631
16,4,4,1.5,1.0e+20,22,632
18,3,3,1,2.0e+20,3.9,633
12,4,4,0.5,1.0e+20,3.9,634
18,4,4,1,5.0e+19,7.5,635
18,3,3,1,1.0e+20,3.9,636
16,3,3,1.5,1.0e+20,22,637
20,4,2,1.5,1.0e+20,7.5,638
10,4,4,1,2.0e+20,7.5,639
12,4,2,1,2.0e+20,22,640
16,3,2,1,2.0e+20,3.9,641
16,3,2,1,1.0e+20,22,642
20,4,4,0.5,1.0e+20,7.5,643
12,2,2,0.5,1.0e+20,22,644
20,3,3,1,2.0e+20,3.9,645
18,2,2,1.5,1.0e+20,3.9,646
20,3,2,1,5.0e+19,7.5,647
16,4,3,1.5,1.0e+20,22,648
14,3,2,1,5.0e+19,22,649
12,4,3,1.5,1.0e+20,3.9,650
16,3,3,1,5.0e+19,7.5,651
18,2,2,1,2.0e+20,22,652
10,3,2,1.5,1.0e+20,3.9,653
18,4,2,1,1.0e+20,3.9,654
16,4,4,1,2.0e+20,3.9,655
18,3,2,1,5.0e+19,7.5,656
16,4,2,1,1.0e+20,22,657
14,4,2,1,2.0e+20,22,658
20,4,3,1.5,1.0e+20,7.5,659
10,3,2,1,2.0e+20,7.5,660
12,4,4,1.5,2.0e+20,7.5,661
12,4,3,1,5.0e+19,3.9,662
16,3,2,0.5,5.0e+19,7.5,663
18,4,2,1.5,5.0e+19,3.9,664
10,4,2,1,1.0e+20,7.5,665
10,4,4,1.5,1.0e+20,7.5,666
12,4,4,1.5,1.0e+20,22,667
10,3,3,1.5,5.0e+19,3.9,668
20,3,3,1.5,2.0e+20,7.5,669
12,3,3,1,2.0e+20,22,670
16,4,3,1.5,5.0e+19,7.5,671
14,2,2,1,5.0e+19,7.5,672
12,2,2,0.5,2.0e+20,3.9,673
18,3,3,0.5,5.0e+19,3.9,674
14,3,3,1,1.0e+20,7.5,675
12,3,3,0.5,1.0e+20,7.5,676
14,4,4,1,5.0e+19,22,677
10,4,2,0.5,1.0e+20,7.5,678
20,4,2,0.5,2.0e+20,7.5,679
10,4,2,0.5,5.0e+19,3.9,680
14,2,2,0.5,1.0e+20,7.5,681
18,2,2,0.5,2.0e+20,3.9,682
12,3,3,0.5,5.0e+19,3.9,683
14,4,2,1,2.0e+20,3.9,684
16,2,2,0.5,1.0e+20,22,685
14,3,2,1.5,5.0e+19,7.5,686
10,4,4,0.5,2.0e+20,7.5,687
20,4,4,0.5,5.0e+19,3.9,688
20,3,3,1,1.0e+20,22,689
10,2,2,1,5.0e+19,22,690
18,4,4,1.5,2.0e+20,7.5,691
20,3,3,0.5,1.0e+20,3.9,692
12,4,2,1.5,5.0e+19,3.9,693
12,3,3,1.5,1.0e+20,22,694
14,4,3,0.5,5.0e+19,7.5,695
20,2,2,1.5,5.0e+19,7.5,696
10,2,2,1.5,2.0e+20,3.9,697
12,4,3,1,5.0e+19,22,698
16,4,2,1,2.0e+20,22,699
12,4,4,1.5,1.0e+20,3.9,700
14,4,2,1.5,2.0e+20,7.5,701
18,3,3,1,5.0e+19,22,702
18,2,2,1.5,1.0e+20,22,703
12,3,2,1,5.0e+19,7.5,704
16,2,2,1.5,5.0e+19,7.5,705
12,4,3,0.5,2.0e+20,3.9,706
14,3,3,0.5,2.0e+20,7.5,707
14,4,4,1,5.0e+19,3.9,708
10,3,3,0.5,1.0e+20,3.9,709
16,4,4,0.5,5.0e+19,3.9,710
12,3,2,1.5,2.0e+20,3.9,711
12,4,2,0.5,1.0e+20,3.9,712
16,2,2,0.5,1.0e+20,3.9,713
20,4,3,1.5,5.0e+19,7.5,714
14,2,2,0.5,5.0e+19,7.5,715
10,4,3,1.5,2.0e+20,3.9,716
18,4,3,1,2.0e+20,22,717
20,4,4,1.5,1.0e+20,7.5,718
14,3,3,1,2.0e+20,7.5,719
16,4,2,0.5,2.0e+20,7.5,720
16,3,2,1,5.0e+19,22,721
18,3,2,1.5,2.0e+20,3.9,722
10,3,2,0.5,2.0e+20,3.9,723
20,3,2,0.5,5.0e+19,7.5,724
20,4,2,0.5,1.0e+20,7.5,725
14,4,4,1.5,5.0e+19,3.9,726
14,4,2,0.5,1.0e+20,22,727
16,3,3,1.5,2.0e+20,7.5,728
18,4,3,0.5,2.0e+20,3.9,729
18,3,2,1,1.0e+20,3.9,730
10,4,4,1,1.0e+20,22,731
12,3,3,1,1.0e+20,22,732
12,2,2,1,5.0e+19,22,733
14,4,3,1,1.0e+20,7.5,734
10,4,3,1,5.0e+19,22,735
14,2,2,1,1.0e+20,22,736
16,4,2,1,5.0e+19,3.9,737
14,4,4,1,1.0e+20,7.5,738
20,4,3,1,5.0e+19,3.9,739
10,4,3,1.5,1.0e+20,7.5,740
10,3,2,1,1.0e+20,7.5,741
10,3,2,0.5,1.0e+20,22,742
14,2,2,1,1.0e+20,7.5,743
12,3,2,1.5,1.0e+20,7.5,744
10,3,3,1,2.0e+20,22,745
16,2,2,1,2.0e+20,7.5,746
16,4,4,1,5.0e+19,22,747
10,4,3,1,2.0e+20,3.9,748
20,3,2,1.5,1.0e+20,3.9,749
20,4,2,0.5,1.0e+20,22,750
18,4,3,0.5,1.0e+20,22,751
18,4,3,1,5.0e+19,3.9,752
12,3,2,1.5,5.0e+19,7.5,753
16,4,4,0.5,2.0e+20,7.5,754
14,3,3,0.5,5.0e+19,3.9,755
14,4,4,1,2.0e+20,7.5,756
14,4,3,1,2.0e+20,22,757
16,2,2,1.5,2.0e+20,3.9,758
12,3,2,1,2.0e+20,3.9,759
12,4,3,0.5,5.0e+19,7.5,760
16,2,2,1,2.0e+20,22,761
14,4,2,1.5,5.0e+19,3.9,762
18,4,3,0.5,5.0e+19,7.5,763
