vg      	vd      	ids     
0       	0       	6.7758e-12
0       	0.05    	5.6124e-10
0       	0.1     	6.4693e-10
0       	0.15    	6.6138e-10
0       	0.2     	6.6515e-10
0       	0.25    	6.672e-10
0       	0.3     	6.6884e-10
0       	0.35    	6.703e-10
0       	0.4     	6.7164e-10
0       	0.45    	6.7288e-10
0       	0.5     	6.7405e-10
0       	0.55    	6.7516e-10
0       	0.6     	6.7621e-10
0       	0.65    	6.7721e-10
0       	0.7     	6.7816e-10
0.05    	0       	4.3056e-11
0.05    	0.05    	3.6165e-09
0.05    	0.1     	4.1829e-09
0.05    	0.15    	4.2813e-09
0.05    	0.2     	4.3072e-09
0.05    	0.25    	4.3213e-09
0.05    	0.3     	4.3325e-09
0.05    	0.35    	4.3423e-09
0.05    	0.4     	4.3512e-09
0.05    	0.45    	4.3594e-09
0.05    	0.5     	4.367e-09
0.05    	0.55    	4.3741e-09
0.05    	0.6     	4.3809e-09
0.05    	0.65    	4.3872e-09
0.05    	0.7     	4.3933e-09
0.1     	0       	2.7206e-10
0.1     	0.05    	2.2735e-08
0.1     	0.1     	2.6394e-08
0.1     	0.15    	2.7046e-08
0.1     	0.2     	2.722e-08
0.1     	0.25    	2.7313e-08
0.1     	0.3     	2.7386e-08
0.1     	0.35    	2.745e-08
0.1     	0.4     	2.7507e-08
0.1     	0.45    	2.7559e-08
0.1     	0.5     	2.7606e-08
0.1     	0.55    	2.765e-08
0.1     	0.6     	2.7691e-08
0.1     	0.65    	2.773e-08
0.1     	0.7     	2.7767e-08
0.15    	0       	1.5463e-09
0.15    	0.05    	1.3282e-07
0.15    	0.1     	1.5592e-07
0.15    	0.15    	1.6013e-07
0.15    	0.2     	1.6123e-07
0.15    	0.25    	1.6178e-07
0.15    	0.3     	1.622e-07
0.15    	0.35    	1.6256e-07
0.15    	0.4     	1.6288e-07
0.15    	0.45    	1.6317e-07
0.15    	0.5     	1.6342e-07
0.15    	0.55    	1.6366e-07
0.15    	0.6     	1.6388e-07
0.15    	0.65    	1.6408e-07
0.15    	0.7     	1.6427e-07
0.2     	0       	6.1291e-09
0.2     	0.05    	5.9291e-07
0.2     	0.1     	7.2315e-07
0.2     	0.15    	7.4797e-07
0.2     	0.2     	7.5392e-07
0.2     	0.25    	7.5646e-07
0.2     	0.3     	7.5823e-07
0.2     	0.35    	7.5969e-07
0.2     	0.4     	7.6096e-07
0.2     	0.45    	7.6208e-07
0.2     	0.5     	7.6307e-07
0.2     	0.55    	7.6397e-07
0.2     	0.6     	7.6478e-07
0.2     	0.65    	7.6553e-07
0.2     	0.7     	7.6623e-07
0.25    	0       	1.4299e-08
0.25    	0.05    	1.6399e-06
0.25    	0.1     	2.1566e-06
0.25    	0.15    	2.2694e-06
0.25    	0.2     	2.2949e-06
0.25    	0.25    	2.3036e-06
0.25    	0.3     	2.3087e-06
0.25    	0.35    	2.3126e-06
0.25    	0.4     	2.3159e-06
0.25    	0.45    	2.3188e-06
0.25    	0.5     	2.3213e-06
0.25    	0.55    	2.3236e-06
0.25    	0.6     	2.3256e-06
0.25    	0.65    	2.3274e-06
0.25    	0.7     	2.3291e-06
0.3     	0       	2.3958e-08
0.3     	0.05    	3.0563e-06
0.3     	0.1     	4.3866e-06
0.3     	0.15    	4.7474e-06
0.3     	0.2     	4.8322e-06
0.3     	0.25    	4.8571e-06
0.3     	0.3     	4.8687e-06
0.3     	0.35    	4.8767e-06
0.3     	0.4     	4.8831e-06
0.3     	0.45    	4.8886e-06
0.3     	0.5     	4.8933e-06
0.3     	0.55    	4.8975e-06
0.3     	0.6     	4.9012e-06
0.3     	0.65    	4.905e-06
0.3     	0.7     	4.9081e-06
0.35    	0       	3.3724e-08
0.35    	0.05    	4.5649e-06
0.35    	0.1     	7.0799e-06
0.35    	0.15    	7.9452e-06
0.35    	0.2     	8.1722e-06
0.35    	0.25    	8.2384e-06
0.35    	0.3     	8.2622e-06
0.35    	0.35    	8.2759e-06
0.35    	0.4     	8.286e-06
0.35    	0.45    	8.2944e-06
0.35    	0.5     	8.3016e-06
0.35    	0.55    	8.3079e-06
0.35    	0.6     	8.3134e-06
0.35    	0.65    	8.3183e-06
0.35    	0.7     	8.3228e-06
0.4     	0       	4.3033e-08
0.4     	0.05    	6.0343e-06
0.4     	0.1     	9.9472e-06
0.4     	0.15    	1.1629e-05
0.4     	0.2     	1.215e-05
0.4     	0.25    	1.2293e-05
0.4     	0.3     	1.234e-05
0.4     	0.35    	1.2363e-05
0.4     	0.4     	1.238e-05
0.4     	0.45    	1.2392e-05
0.4     	0.5     	1.2402e-05
0.4     	0.55    	1.2411e-05
0.4     	0.6     	1.2418e-05
0.4     	0.65    	1.2425e-05
0.4     	0.7     	1.243e-05
0.45    	0       	5.1482e-08
0.45    	0.05    	7.3908e-06
0.45    	0.1     	1.2701e-05
0.45    	0.15    	1.5555e-05
0.45    	0.2     	1.6578e-05
0.45    	0.25    	1.6891e-05
0.45    	0.3     	1.6985e-05
0.45    	0.35    	1.7023e-05
0.45    	0.4     	1.7045e-05
0.45    	0.45    	1.7061e-05
0.45    	0.5     	1.7074e-05
0.45    	0.55    	1.7082e-05
0.45    	0.6     	1.709e-05
0.45    	0.65    	1.7104e-05
0.45    	0.7     	1.7106e-05
0.5     	0       	5.8904e-08
0.5     	0.05    	8.6234e-06
0.5     	0.1     	1.5278e-05
0.5     	0.15    	1.9467e-05
0.5     	0.2     	2.1277e-05
0.5     	0.25    	2.187e-05
0.5     	0.3     	2.2055e-05
0.5     	0.35    	2.2117e-05
0.5     	0.4     	2.2167e-05
0.5     	0.45    	2.2178e-05
0.5     	0.5     	2.2206e-05
0.5     	0.55    	2.2221e-05
0.5     	0.6     	2.2215e-05
0.5     	0.65    	2.2236e-05
0.5     	0.7     	2.2253e-05
0.55    	0       	6.5213e-08
0.55    	0.05    	9.6289e-06
0.55    	0.1     	1.7511e-05
0.55    	0.15    	2.3e-05 
0.55    	0.2     	2.5911e-05
0.55    	0.25    	2.7099e-05
0.55    	0.3     	2.7476e-05
0.55    	0.35    	2.7571e-05
0.55    	0.4     	2.7637e-05
0.55    	0.45    	2.7667e-05
0.55    	0.5     	2.7687e-05
0.55    	0.55    	2.7713e-05
0.55    	0.6     	2.7707e-05
0.55    	0.65    	2.7722e-05
0.55    	0.7     	2.7734e-05
0.6     	0       	7.0619e-08
0.6     	0.05    	1.0477e-05
0.6     	0.1     	1.9382e-05
0.6     	0.15    	2.6129e-05
0.6     	0.2     	3.0327e-05
0.6     	0.25    	3.2263e-05
0.6     	0.3     	3.3044e-05
0.6     	0.35    	3.328e-05
0.6     	0.4     	3.3365e-05
0.6     	0.45    	3.3405e-05
0.6     	0.5     	3.3429e-05
0.6     	0.55    	3.3446e-05
0.6     	0.6     	3.346e-05
0.6     	0.65    	3.3472e-05
0.6     	0.7     	3.3482e-05
0.65    	0       	7.5598e-08
0.65    	0.05    	1.1213e-05
0.65    	0.1     	2.1001e-05
0.65    	0.15    	2.8828e-05
0.65    	0.2     	3.4307e-05
0.65    	0.25    	3.7326e-05
0.65    	0.3     	3.8655e-05
0.65    	0.35    	3.9128e-05
0.65    	0.4     	3.9292e-05
0.65    	0.45    	3.9358e-05
0.65    	0.5     	3.9391e-05
0.65    	0.55    	3.9412e-05
0.65    	0.6     	3.9448e-05
0.65    	0.65    	3.945e-05
0.65    	0.7     	3.9456e-05
0.7     	0       	7.9694e-08
0.7     	0.05    	1.184e-05
0.7     	0.1     	2.2356e-05
0.7     	0.15    	3.1029e-05
0.7     	0.2     	3.7686e-05
0.7     	0.25    	4.1812e-05
0.7     	0.3     	4.391e-05
0.7     	0.35    	4.4874e-05
0.7     	0.4     	4.5201e-05
0.7     	0.45    	4.5323e-05
0.7     	0.5     	4.5377e-05
0.7     	0.55    	4.5407e-05
0.7     	0.6     	4.5427e-05
0.7     	0.65    	4.5442e-05
0.7     	0.7     	4.5455e-05
