lg_nw,r_nw,t_ox,N_sd,eps_ox,index
14,2,1.5,5.0e+19,3.9,0
20,2,0.5,2.0e+20,22,1
12,2,1,5.0e+19,22,2
20,3,1,1.0e+20,7.5,3
18,4,1.5,1.0e+20,22,4
16,3,1,2.0e+20,22,5
12,4,0.5,5.0e+19,7.5,6
12,5,1.5,1.0e+20,22,7
20,4,1,1.0e+20,7.5,8
20,5,0.5,5.0e+19,22,9
20,4,0.5,1.0e+20,7.5,10
12,2,0.5,2.0e+20,3.9,11
14,4,1.5,2.0e+20,7.5,12
20,2,1.5,1.0e+20,7.5,13
16,4,0.5,1.0e+20,3.9,14
20,3,1.5,5.0e+19,3.9,15
12,5,0.5,1.0e+20,3.9,16
16,3,0.5,5.0e+19,3.9,17
12,3,1,2.0e+20,7.5,18
16,5,1,2.0e+20,7.5,19
18,5,1.5,2.0e+20,7.5,20
10,5,1.5,5.0e+19,7.5,21
16,2,1.5,1.0e+20,3.9,22
12,3,1.5,1.0e+20,3.9,23
18,3,1.5,5.0e+19,3.9,24
16,5,1,5.0e+19,22,25
12,4,1,2.0e+20,22,26
10,5,1,5.0e+19,3.9,27
14,4,0.5,1.0e+20,22,28
14,3,1,5.0e+19,3.9,29
10,3,1.5,2.0e+20,3.9,30
20,5,1.5,2.0e+20,7.5,31
16,5,0.5,2.0e+20,7.5,32
18,4,1,5.0e+19,3.9,33
20,3,1,2.0e+20,3.9,34
12,3,1,1.0e+20,3.9,35
16,4,1.5,5.0e+19,7.5,36
18,2,1,2.0e+20,3.9,37
14,5,1,1.0e+20,3.9,38
20,4,0.5,5.0e+19,7.5,39
20,5,1,5.0e+19,3.9,40
10,3,1,2.0e+20,3.9,41
12,4,1,1.0e+20,3.9,42
14,5,1,2.0e+20,3.9,43
10,2,0.5,5.0e+19,3.9,44
16,2,0.5,1.0e+20,22,45
14,2,1,1.0e+20,3.9,46
18,2,0.5,2.0e+20,3.9,47
20,3,1.5,5.0e+19,22,48
20,5,1,2.0e+20,22,49
20,5,1.5,1.0e+20,7.5,50
10,4,0.5,2.0e+20,7.5,51
12,5,1,5.0e+19,7.5,52
16,3,1,5.0e+19,7.5,53
16,5,1,1.0e+20,22,54
18,4,0.5,5.0e+19,7.5,55
20,4,1.5,2.0e+20,22,56
14,3,1,5.0e+19,22,57
10,2,1,2.0e+20,22,58
16,2,1.5,2.0e+20,3.9,59
20,3,0.5,1.0e+20,7.5,60
20,2,0.5,2.0e+20,3.9,61
12,4,1.5,1.0e+20,3.9,62
16,5,1.5,1.0e+20,3.9,63
20,5,1.5,1.0e+20,22,64
14,5,0.5,5.0e+19,7.5,65
10,4,1,5.0e+19,22,66
14,5,1,2.0e+20,22,67
12,2,0.5,1.0e+20,3.9,68
12,3,1.5,5.0e+19,3.9,69
16,3,0.5,1.0e+20,3.9,70
10,3,1.5,1.0e+20,22,71
12,5,1.5,2.0e+20,7.5,72
20,3,1,5.0e+19,22,73
12,5,1,1.0e+20,22,74
14,3,0.5,2.0e+20,3.9,75
16,2,0.5,1.0e+20,3.9,76
12,3,0.5,1.0e+20,3.9,77
12,5,0.5,5.0e+19,3.9,78
20,2,1.5,1.0e+20,22,79
20,3,0.5,2.0e+20,22,80
20,4,1,5.0e+19,22,81
14,3,1.5,5.0e+19,7.5,82
16,4,1.5,1.0e+20,3.9,83
12,5,1.5,1.0e+20,3.9,84
20,4,0.5,5.0e+19,22,85
14,5,1.5,2.0e+20,3.9,86
14,2,1,2.0e+20,22,87
10,3,1,5.0e+19,22,88
10,4,1.5,1.0e+20,22,89
12,3,0.5,2.0e+20,7.5,90
18,4,1.5,2.0e+20,3.9,91
20,5,1,1.0e+20,7.5,92
12,4,1,2.0e+20,3.9,93
10,5,1,2.0e+20,22,94
14,4,1,5.0e+19,22,95
16,2,1,2.0e+20,3.9,96
10,4,1.5,5.0e+19,3.9,97
20,2,1.5,5.0e+19,7.5,98
20,2,1,1.0e+20,7.5,99
16,5,0.5,1.0e+20,22,100
16,2,0.5,5.0e+19,7.5,101
20,2,1,2.0e+20,22,102
20,4,1.5,2.0e+20,3.9,103
20,4,1,2.0e+20,7.5,104
18,3,1,5.0e+19,7.5,105
20,2,0.5,1.0e+20,7.5,106
16,4,0.5,2.0e+20,3.9,107
18,2,1.5,5.0e+19,7.5,108
10,2,1.5,2.0e+20,7.5,109
10,2,1,5.0e+19,7.5,110
18,3,1,1.0e+20,22,111
20,4,1.5,1.0e+20,7.5,112
14,4,1,5.0e+19,7.5,113
12,2,1.5,1.0e+20,3.9,114
10,3,0.5,5.0e+19,7.5,115
16,3,1.5,1.0e+20,3.9,116
10,4,1,2.0e+20,7.5,117
14,2,1,2.0e+20,7.5,118
18,3,0.5,2.0e+20,7.5,119
20,2,1,5.0e+19,7.5,120
18,5,1,2.0e+20,7.5,121
16,5,1.5,5.0e+19,3.9,122
10,2,1,1.0e+20,22,123
20,2,1.5,5.0e+19,22,124
12,4,0.5,1.0e+20,3.9,125
12,3,1,2.0e+20,22,126
16,2,1,5.0e+19,22,127
20,5,0.5,5.0e+19,3.9,128
16,5,0.5,1.0e+20,3.9,129
16,3,1.5,2.0e+20,7.5,130
14,3,0.5,1.0e+20,22,131
20,4,1,1.0e+20,22,132
20,3,0.5,2.0e+20,7.5,133
10,5,0.5,2.0e+20,3.9,134
20,5,1.5,2.0e+20,22,135
18,5,0.5,5.0e+19,3.9,136
12,2,1,5.0e+19,3.9,137
16,4,1,5.0e+19,3.9,138
14,3,1,1.0e+20,3.9,139
12,5,1,1.0e+20,3.9,140
12,2,1.5,5.0e+19,7.5,141
14,2,1,1.0e+20,22,142
18,3,1.5,1.0e+20,22,143
14,4,1,1.0e+20,3.9,144
12,2,1.5,1.0e+20,22,145
12,2,1,1.0e+20,3.9,146
14,4,0.5,5.0e+19,3.9,147
20,3,1.5,1.0e+20,7.5,148
14,2,0.5,2.0e+20,7.5,149
16,4,1,2.0e+20,22,150
12,5,1,5.0e+19,22,151
20,5,0.5,1.0e+20,7.5,152
12,4,1.5,2.0e+20,3.9,153
14,3,1,2.0e+20,22,154
10,2,1,5.0e+19,22,155
20,5,0.5,2.0e+20,7.5,156
20,4,1.5,5.0e+19,22,157
18,2,0.5,1.0e+20,3.9,158
18,5,1,5.0e+19,3.9,159
20,2,1,2.0e+20,3.9,160
16,5,1.5,2.0e+20,7.5,161
18,5,1,1.0e+20,3.9,162
14,2,1,5.0e+19,3.9,163
18,4,1.5,1.0e+20,3.9,164
10,4,1,5.0e+19,3.9,165
18,3,0.5,5.0e+19,3.9,166
10,3,0.5,2.0e+20,3.9,167
18,2,1,1.0e+20,3.9,168
18,5,0.5,2.0e+20,7.5,169
16,4,1,2.0e+20,7.5,170
12,2,1,2.0e+20,7.5,171
20,5,1,5.0e+19,22,172
20,3,1.5,2.0e+20,22,173
10,5,0.5,5.0e+19,7.5,174
20,3,0.5,5.0e+19,3.9,175
16,3,1.5,1.0e+20,22,176
16,3,1.5,5.0e+19,3.9,177
10,2,0.5,1.0e+20,22,178
14,4,0.5,2.0e+20,7.5,179
20,3,1,2.0e+20,22,180
12,2,1.5,2.0e+20,3.9,181
10,2,1,1.0e+20,3.9,182
12,4,1.5,5.0e+19,7.5,183
16,4,1,1.0e+20,3.9,184
14,3,0.5,1.0e+20,7.5,185
10,4,1,2.0e+20,22,186
20,4,0.5,1.0e+20,22,187
14,5,1,5.0e+19,22,188
10,2,0.5,1.0e+20,7.5,189
10,5,1,1.0e+20,3.9,190
14,5,1.5,1.0e+20,7.5,191
14,2,0.5,5.0e+19,3.9,192
10,4,1.5,1.0e+20,7.5,193
16,3,1,1.0e+20,3.9,194
14,3,1.5,2.0e+20,3.9,195
18,3,1.5,1.0e+20,3.9,196
20,5,0.5,2.0e+20,22,197
18,5,0.5,1.0e+20,3.9,198
12,5,0.5,2.0e+20,7.5,199
12,3,1,1.0e+20,22,200
18,5,0.5,1.0e+20,22,201
12,3,0.5,5.0e+19,3.9,202
12,2,1,2.0e+20,22,203
16,3,1,5.0e+19,22,204
20,2,0.5,5.0e+19,22,205
14,5,1.5,5.0e+19,7.5,206
12,4,0.5,1.0e+20,22,207
16,2,0.5,2.0e+20,3.9,208
20,2,1.5,2.0e+20,3.9,209
14,5,1.5,1.0e+20,22,210
16,2,1,5.0e+19,7.5,211
12,4,1,5.0e+19,7.5,212
10,4,1.5,2.0e+20,7.5,213
16,5,1,2.0e+20,22,214
12,4,1,5.0e+19,22,215
18,4,1.5,5.0e+19,7.5,216
10,2,1.5,5.0e+19,3.9,217
14,4,1,2.0e+20,3.9,218
10,2,1,2.0e+20,3.9,219
10,3,1.5,1.0e+20,7.5,220
18,2,1.5,2.0e+20,3.9,221
14,2,1.5,1.0e+20,7.5,222
10,5,0.5,1.0e+20,7.5,223
14,4,0.5,1.0e+20,7.5,224
16,4,0.5,5.0e+19,7.5,225
16,3,1,1.0e+20,22,226
18,3,1,2.0e+20,3.9,227
20,4,1,5.0e+19,3.9,228
20,4,1.5,5.0e+19,7.5,229
20,5,1.5,5.0e+19,22,230
18,2,0.5,5.0e+19,7.5,231
14,5,1,5.0e+19,7.5,232
10,3,1,5.0e+19,7.5,233
14,2,1.5,1.0e+20,22,234
10,2,0.5,2.0e+20,7.5,235
20,5,1,2.0e+20,7.5,236
20,4,0.5,2.0e+20,3.9,237
18,2,1,5.0e+19,7.5,238
16,4,1.5,2.0e+20,3.9,239
16,2,1,1.0e+20,3.9,240
20,2,0.5,5.0e+19,7.5,241
12,3,1,5.0e+19,22,242
16,2,1,2.0e+20,22,243
14,5,0.5,1.0e+20,7.5,244
18,5,1,1.0e+20,22,245
10,4,1,1.0e+20,3.9,246
16,2,1.5,5.0e+19,7.5,247
20,2,1.5,2.0e+20,22,248
10,4,0.5,1.0e+20,7.5,249
14,3,1.5,1.0e+20,7.5,250
16,5,1,1.0e+20,3.9,251
10,2,1.5,1.0e+20,7.5,252
18,4,0.5,2.0e+20,3.9,253
10,4,0.5,5.0e+19,3.9,254
10,3,1,1.0e+20,3.9,255
16,3,1,2.0e+20,3.9,256
12,5,1,2.0e+20,3.9,257
16,4,1,5.0e+19,22,258
18,3,1,1.0e+20,3.9,259
12,3,1.5,2.0e+20,7.5,260
12,5,1,2.0e+20,22,261
18,4,0.5,1.0e+20,3.9,262
18,2,1.5,1.0e+20,3.9,263
14,5,0.5,2.0e+20,3.9,264
18,4,1,1.0e+20,3.9,265
14,3,0.5,5.0e+19,7.5,266
18,2,0.5,1.0e+20,22,267
12,5,1.5,5.0e+19,3.9,268
12,3,0.5,1.0e+20,22,269
10,5,0.5,1.0e+20,22,270
12,4,0.5,2.0e+20,3.9,271
14,2,1,5.0e+19,22,272
10,3,1,2.0e+20,22,273
