lg_nw,r_nw,t_ox,N_sd,eps_ox
12,2,1.5,2.0e+20,7.5
vgs,vds,ids
0.0,0.0,8.215366576908922e-16
0.0,0.05,1.0234355627036546e-15
0.0,0.1,1.154764434708897e-15
0.0,0.15,1.195852666677469e-15
0.0,0.2,1.2179750948328493e-15
0.0,0.25,1.2260035878506395e-15
0.0,0.3,1.2257050515730678e-15
0.0,0.35,1.2229140057965105e-15
0.0,0.4,1.2239704243058813e-15
0.0,0.45,1.2343252775456095e-15
0.0,0.5,1.2609279472775573e-15
0.0,0.55,1.2690921424031148e-15
0.0,0.6,1.232636172037536e-15
0.0,0.65,1.2290807471393055e-15
0.0,0.7,1.286515115565605e-15
0.05,0.0,5.955675404384387e-15
0.05,0.05,7.119470872580507e-15
0.05,0.1,8.076157446300662e-15
0.05,0.15,8.398408743606836e-15
0.05,0.2,8.568263597788124e-15
0.05,0.25,8.622096405089956e-15
0.05,0.3,8.604736024082138e-15
0.05,0.35,8.561246209796142e-15
0.05,0.4,8.523014641122254e-15
0.05,0.45,8.55409401657492e-15
0.05,0.5,8.708147948961825e-15
0.05,0.55,8.768905220749415e-15
0.05,0.6,8.666224645453667e-15
0.05,0.65,8.695878868469618e-15
0.05,0.7,8.892440193800074e-15
0.1,0.0,4.130339210000955e-14
0.1,0.05,4.8436415639734786e-14
0.1,0.1,5.4427483265135494e-14
0.1,0.15,5.643244625489981e-14
0.1,0.2,5.746168913044317e-14
0.1,0.25,5.775417228214904e-14
0.1,0.3,5.76139306925536e-14
0.1,0.35,5.731126526536337e-14
0.1,0.4,5.719674608976257e-14
0.1,0.45,5.757109665594551e-14
0.1,0.5,5.880731653425825e-14
0.1,0.55,5.912725831721189e-14
0.1,0.6,5.83112440967022e-14
0.1,0.65,5.830876177025286e-14
0.1,0.7,5.937905306814027e-14
0.15,0.0,2.778498473616926e-13
0.15,0.05,3.2958114764499615e-13
0.15,0.1,3.7328160032013365e-13
0.15,0.15,3.850792072705879e-13
0.15,0.2,3.9411529681741654e-13
0.15,0.25,3.971892574132854e-13
0.15,0.3,3.9653767937401003e-13
0.15,0.35,3.9436091812149467e-13
0.15,0.4,3.9309888358127666e-13
0.15,0.45,3.948528539945707e-13
0.15,0.5,4.0215913096996804e-13
0.15,0.55,4.0242885795886606e-13
0.15,0.6,3.978592137960605e-13
0.15,0.65,3.9909430107368793e-13
0.15,0.7,4.1264013157723124e-13
0.2,0.0,1.833089628826708e-12
0.2,0.05,2.19485608776039e-12
0.2,0.1,2.52989954956907e-12
0.2,0.15,2.591640737077675e-12
0.2,0.2,2.631774372275668e-12
0.2,0.25,2.6542380320228687e-12
0.2,0.3,2.6512011381738684e-12
0.2,0.35,2.6364351992224757e-12
0.2,0.4,2.625086621816539e-12
0.2,0.45,2.6437652479850396e-12
0.2,0.5,2.700601973726292e-12
0.2,0.55,2.7095175876049887e-12
0.2,0.6,2.6749503520099247e-12
0.2,0.65,2.6900281425725903e-12
0.2,0.7,2.772944425460944e-12
0.25,0.0,1.2623294658671206e-11
0.25,0.05,1.5023671863549637e-11
0.25,0.1,1.746244033614104e-11
0.25,0.15,1.7890976947952575e-11
0.25,0.2,1.811757803095443e-11
0.25,0.25,1.817062105502579e-11
0.25,0.3,1.8196941932009972e-11
0.25,0.35,1.8172489528798086e-11
0.25,0.4,1.8164694187800153e-11
0.25,0.45,1.825347134179786e-11
0.25,0.5,1.853957656793516e-11
0.25,0.55,1.8485569682854023e-11
0.25,0.6,1.8351918477483035e-11
0.25,0.65,1.8575415363341816e-11
0.25,0.7,1.9138406912604186e-11
0.3,0.0,9.066320137948482e-11
0.3,0.05,1.023576295080315e-10
0.3,0.1,1.171699582796353e-10
0.3,0.15,1.214353882992182e-10
0.3,0.2,1.2373607561089025e-10
0.3,0.25,1.2475496516556141e-10
0.3,0.3,1.2475381262699426e-10
0.3,0.35,1.2431952622651345e-10
0.3,0.4,1.2411043470430017e-10
0.3,0.45,1.246759011766765e-10
0.3,0.5,1.2670735853467604e-10
0.3,0.55,1.2722775760282858e-10
0.3,0.6,1.2627220313244607e-10
0.3,0.65,1.2678323767371868e-10
0.3,0.7,1.29254521832206e-10
0.35,0.0,5.992894415906063e-10
0.35,0.05,6.979894515899292e-10
0.35,0.1,8.004404724710206e-10
0.35,0.15,8.180752423586204e-10
0.35,0.2,8.278274292297314e-10
0.35,0.25,8.358569154810143e-10
0.35,0.3,8.38671382376058e-10
0.35,0.35,8.388040122104993e-10
0.35,0.4,8.405219292996497e-10
0.35,0.45,8.473439788002385e-10
0.35,0.5,8.6384501829197e-10
0.35,0.55,8.688031695797684e-10
0.35,0.6,8.581734237584683e-10
0.35,0.65,8.549263184853447e-10
0.35,0.7,8.618674103978905e-10
0.4,0.0,3.8376663019764965e-09
0.4,0.05,4.561775613474163e-09
0.4,0.1,5.2659455769372945e-09
0.4,0.15,5.41850072294784e-09
0.4,0.2,5.418256839341399e-09
0.4,0.25,5.445324480385138e-09
0.4,0.3,5.489637390217868e-09
0.4,0.35,5.50750108913257e-09
0.4,0.4,5.527482291604598e-09
0.4,0.45,5.58160151383501e-09
0.4,0.5,5.695670611941936e-09
0.4,0.55,5.73619710703686e-09
0.4,0.6,5.6366182239702716e-09
0.4,0.65,5.584395916255705e-09
0.4,0.7,5.6330629617737175e-09
0.45,0.0,2.3468841309184074e-08
0.45,0.05,2.8045377150112395e-08
0.45,0.1,3.238861189377088e-08
0.45,0.15,3.385581397309623e-08
0.45,0.2,3.427459248725438e-08
0.45,0.25,3.430848806594968e-08
0.45,0.3,3.473778071921015e-08
0.45,0.35,3.492910986048283e-08
0.45,0.4,3.506993683910037e-08
0.45,0.45,3.531897750118866e-08
0.45,0.5,3.5873966451405586e-08
0.45,0.55,3.626575921182107e-08
0.45,0.6,3.591215639778022e-08
0.45,0.65,3.586850295411204e-08
0.45,0.7,3.62682554681079e-08
0.5,0.0,1.0982520038731527e-07
0.5,0.05,1.409096232975455e-07
0.5,0.1,1.631577276359233e-07
0.5,0.15,1.73355766245831e-07
0.5,0.2,1.7766427371014944e-07
0.5,0.25,1.7818048449693544e-07
0.5,0.3,1.7949205937780987e-07
0.5,0.35,1.8002160411345695e-07
0.5,0.4,1.7978686219405112e-07
0.5,0.45,1.7975484950198899e-07
0.5,0.5,1.8109660851699035e-07
0.5,0.55,1.8295386267755856e-07
0.5,0.6,1.817742084308246e-07
0.5,0.65,1.8291447679878783e-07
0.5,0.7,1.8733954981638186e-07
0.55,0.0,3.049334476373932e-07
0.55,0.05,4.1969594498504874e-07
0.55,0.1,5.286943712373121e-07
0.55,0.15,5.66408614093646e-07
0.55,0.2,5.803550692677626e-07
0.55,0.25,5.815112301516726e-07
0.55,0.3,5.826597406709219e-07
0.55,0.35,5.857806422705845e-07
0.55,0.4,5.849177515370489e-07
0.55,0.45,5.8326691638424e-07
0.55,0.5,5.845609899208828e-07
0.55,0.55,5.892382035072767e-07
0.55,0.6,5.806680459581556e-07
0.55,0.65,5.781101737832052e-07
0.55,0.7,5.843349248259375e-07
0.6,0.0,4.7422050227670887e-07
0.6,0.05,7.111056688373113e-07
0.6,0.1,1.0656461697117204e-06
0.6,0.15,1.2173756781282934e-06
0.6,0.2,1.25748120436783e-06
0.6,0.25,1.2590936901978378e-06
0.6,0.3,1.2459609252143178e-06
0.6,0.35,1.250456930241204e-06
0.6,0.4,1.2488464010945698e-06
0.6,0.45,1.2472898122489068e-06
0.6,0.5,1.2474173843314707e-06
0.6,0.55,1.2585111085813483e-06
0.6,0.6,1.2381679919735618e-06
0.6,0.65,1.2295808857814534e-06
0.6,0.7,1.2414144340292175e-06
0.65,0.0,5.696168984193516e-07
0.65,0.05,9.876512441049144e-07
0.65,0.1,1.6708995843131103e-06
0.65,0.15,1.969892896550122e-06
0.65,0.2,2.053358112944234e-06
0.65,0.25,2.073696623858309e-06
0.65,0.3,2.046795245381891e-06
0.65,0.35,2.067585079528676e-06
0.65,0.4,2.065409257339735e-06
0.65,0.45,2.055428535548343e-06
0.65,0.5,2.054182856442062e-06
0.65,0.55,2.0773744762926257e-06
0.65,0.6,2.061831888579353e-06
0.65,0.65,2.051058438837882e-06
0.65,0.7,2.079156974695392e-06
0.7,0.0,6.311681090519864e-07
0.7,0.05,1.1891921142806245e-06
0.7,0.1,2.113794439605083e-06
0.7,0.15,2.638494277142534e-06
0.7,0.2,2.8267627244964656e-06
0.7,0.25,2.9158495227463482e-06
0.7,0.3,2.932131154426743e-06
0.7,0.35,2.9641796938098912e-06
0.7,0.4,2.9767631989887226e-06
0.7,0.45,2.975925382730739e-06
0.7,0.5,2.986437466247686e-06
0.7,0.55,3.031902598243725e-06
0.7,0.6,3.0433657264229963e-06
0.7,0.65,3.013671003008556e-06
0.7,0.7,3.0326475416555433e-06
