lg_nw,r_nw,t_ox,N_sd,eps_ox
18,3,1,1.0e+20,7.5
vgs,vds,ids
0.0,0.0,0
0.0,0.05,1.4666595237824036e-09
0.0,0.1,1.68662095723422e-09
0.0,0.15,1.755097439557452e-09
0.0,0.2,1.7739823809749678e-09
0.0,0.25,1.7863436379118979e-09
0.0,0.3,1.8016852165079905e-09
0.0,0.35,1.809429435556132e-09
0.0,0.4,1.8226808179337581e-09
0.0,0.45,1.8124807640438341e-09
0.0,0.5,1.8349461289276229e-09
0.0,0.55,1.8359140353900825e-09
0.0,0.6,1.8505787283166146e-09
0.0,0.65,1.8523152546499667e-09
0.0,0.7,1.87745367268296e-09
0.05,0.0,0
0.05,0.05,9.773014380406214e-09
0.05,0.1,1.1148699882259452e-08
0.05,0.15,1.1545406694327464e-08
0.05,0.2,1.1598617313218923e-08
0.05,0.25,1.173462195541479e-08
0.05,0.3,1.1801577622804244e-08
0.05,0.35,1.1831900145557823e-08
0.05,0.4,1.1933009611296523e-08
0.05,0.45,1.191001802617711e-08
0.05,0.5,1.2052036631460325e-08
0.05,0.55,1.2123514344315553e-08
0.05,0.6,1.2105758411914375e-08
0.05,0.65,1.2189757961069333e-08
0.05,0.7,1.2389503954457253e-08
0.1,0.0,0
0.1,0.05,6.062988684926507e-08
0.1,0.1,6.984382690586573e-08
0.1,0.15,7.241749936822206e-08
0.1,0.2,7.267045882605417e-08
0.1,0.25,7.33939296752085e-08
0.1,0.3,7.371956835172835e-08
0.1,0.35,7.38073546464245e-08
0.1,0.4,7.432878216750592e-08
0.1,0.45,7.438153860028173e-08
0.1,0.5,7.484507983076073e-08
0.1,0.55,7.573943446434795e-08
0.1,0.6,7.504609500980876e-08
0.1,0.65,7.5852747732832e-08
0.1,0.7,7.629029485648847e-08
0.15,0.0,0
0.15,0.05,2.8586853143076805e-07
0.15,0.1,3.431459516917026e-07
0.15,0.15,3.589215202749066e-07
0.15,0.2,3.625373269446446e-07
0.15,0.25,3.653142508231378e-07
0.15,0.3,3.680038245778103e-07
0.15,0.35,3.687822262469241e-07
0.15,0.4,3.709950938450704e-07
0.15,0.45,3.7096560474439636e-07
0.15,0.5,3.7101925914969694e-07
0.15,0.55,3.7276281447646186e-07
0.15,0.6,3.700002399280955e-07
0.15,0.65,3.7418032163922234e-07
0.15,0.7,3.750588756088071e-07
0.2,0.0,0
0.2,0.05,8.511886008093506e-07
0.2,0.1,1.121741711770968e-06
0.2,0.15,1.1771021347275857e-06
0.2,0.2,1.1881730564707716e-06
0.2,0.25,1.1850440705359028e-06
0.2,0.3,1.1905038410630668e-06
0.2,0.35,1.1929670542634217e-06
0.2,0.4,1.2050539456543442e-06
0.2,0.45,1.2045911032532037e-06
0.2,0.5,1.2019325504600532e-06
0.2,0.55,1.2113223677786879e-06
0.2,0.6,1.210738560593317e-06
0.2,0.65,1.19980394864336e-06
0.2,0.7,1.2020426175236595e-06
0.25,0.0,0
0.25,0.05,1.6967886113471068e-06
0.25,0.1,2.365645163864601e-06
0.25,0.15,2.5154375295103744e-06
0.25,0.2,2.56095018658318e-06
0.25,0.25,2.556498493633879e-06
0.25,0.3,2.5816496897019804e-06
0.25,0.35,2.5939337763724382e-06
0.25,0.4,2.6137039949152364e-06
0.25,0.45,2.6021850093754287e-06
0.25,0.5,2.5875811983651633e-06
0.25,0.55,2.6103975053111044e-06
0.25,0.6,2.6395692020529345e-06
0.25,0.65,2.604218043518256e-06
0.25,0.7,2.6424303419763716e-06
0.3,0.0,0
0.3,0.05,2.5847110097063056e-06
0.3,0.1,3.875338334131417e-06
0.3,0.15,4.25289651935161e-06
0.3,0.2,4.368483109207204e-06
0.3,0.25,4.356187911420511e-06
0.3,0.3,4.419270631785214e-06
0.3,0.35,4.447962440748499e-06
0.3,0.4,4.440189397251386e-06
0.3,0.45,4.437603570652642e-06
0.3,0.5,4.406875158072679e-06
0.3,0.55,4.448868290569097e-06
0.3,0.6,4.4707905179985534e-06
0.3,0.65,4.460287587834636e-06
0.3,0.7,4.507172916067716e-06
0.35,0.0,0
0.35,0.05,3.2405438696095735e-06
0.35,0.1,5.3852119418859996e-06
0.35,0.15,6.1459473262013285e-06
0.35,0.2,6.426596002588243e-06
0.35,0.25,6.452476170163949e-06
0.35,0.3,6.515472653113123e-06
0.35,0.35,6.555819433174731e-06
0.35,0.4,6.51742014220202e-06
0.35,0.45,6.496980349161501e-06
0.35,0.5,6.451405602904527e-06
0.35,0.55,6.495636885227575e-06
0.35,0.6,6.473102906663315e-06
0.35,0.65,6.507335004453504e-06
0.35,0.7,6.517782850567005e-06
0.4,0.0,0
0.4,0.05,3.8182861644662244e-06
0.4,0.1,6.659010556258696e-06
0.4,0.15,8.039203242679468e-06
0.4,0.2,8.54204087456736e-06
0.4,0.25,8.68780092882643e-06
0.4,0.3,8.738216152900061e-06
0.4,0.35,8.800344878132388e-06
0.4,0.4,8.769807529113546e-06
0.4,0.45,8.763656365345116e-06
0.4,0.5,8.77192319106828e-06
0.4,0.55,8.797882330304835e-06
0.4,0.6,8.775266442376217e-06
0.4,0.65,8.888677469842004e-06
0.4,0.7,8.806040452806945e-06
0.45,0.0,0
0.45,0.05,4.2585963199209485e-06
0.45,0.1,7.625266678087252e-06
0.45,0.15,9.837122236429877e-06
0.45,0.2,1.0602198098153459e-05
0.45,0.25,1.092603352551511e-05
0.45,0.3,1.0984763671533125e-05
0.45,0.35,1.1132447097175227e-05
0.45,0.4,1.1141727078179932e-05
0.45,0.45,1.1128830011843096e-05
0.45,0.5,1.1202341404181088e-05
0.45,0.55,1.1203875261426598e-05
0.45,0.6,1.118823856791074e-05
0.45,0.65,1.1310602135653159e-05
0.45,0.7,1.1202903165627605e-05
0.5,0.0,0
