lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox
16,3,2,1.5,1.0e+20,22
vgs,vds,ids
0.0,0.0,0
0.0,0.05,9.998198313497917e-14
0.0,0.1,1.1071085618051789e-13
0.0,0.15,1.142018501949117e-13
0.0,0.2,1.1452233194480686e-13
0.0,0.25,1.126547048695141e-13
0.0,0.3,1.1456449652743174e-13
0.0,0.35,1.1538524610208765e-13
0.0,0.4,1.1530984401237335e-13
0.0,0.45,1.1487878592979579e-13
0.0,0.5,1.14657899100997e-13
0.0,0.55,1.1488152180974435e-13
0.0,0.6,1.1492853358832464e-13
0.0,0.65,1.1519686352319706e-13
0.0,0.7,1.1556643126564372e-13
0.05,0.0,0
0.05,0.05,6.705634794180064e-13
0.05,0.1,7.448163866320602e-13
0.05,0.15,7.724015874498126e-13
0.05,0.2,7.756612336825344e-13
0.05,0.25,7.632679853956317e-13
0.05,0.3,7.767760706573743e-13
0.05,0.35,7.822127086026426e-13
0.05,0.4,7.808280466139862e-13
0.05,0.45,7.762107459160122e-13
0.05,0.5,7.721797766846308e-13
0.05,0.55,7.719013786674892e-13
0.05,0.6,7.699940970093699e-13
0.05,0.65,7.711593490742217e-13
0.05,0.7,7.695138857400853e-13
0.1,0.0,0
0.1,0.05,4.529616828580764e-12
0.1,0.1,5.067337301836198e-12
0.1,0.15,5.258502696478849e-12
0.1,0.2,5.2740976201271704e-12
0.1,0.25,5.177238125957585e-12
0.1,0.3,5.24939712200413e-12
0.1,0.35,5.276325042691878e-12
0.1,0.4,5.256402310321753e-12
0.1,0.45,5.217310444400548e-12
0.1,0.5,5.2054227365552735e-12
0.1,0.55,5.2164226945302105e-12
0.1,0.6,5.2090938984091316e-12
0.1,0.65,5.211741877106148e-12
0.1,0.7,5.159450199601734e-12
0.15,0.0,0
0.15,0.05,3.0274585560964035e-11
0.15,0.1,3.381815752260098e-11
0.15,0.15,3.518377960727852e-11
0.15,0.2,3.526084978027972e-11
0.15,0.25,3.467972797808773e-11
0.15,0.3,3.524845838863901e-11
0.15,0.35,3.5622722585784523e-11
0.15,0.4,3.5657154681075896e-11
0.15,0.45,3.5535157857485664e-11
0.15,0.5,3.5428750262296616e-11
0.15,0.55,3.5519110631293846e-11
0.15,0.6,3.558649382162542e-11
0.15,0.65,3.547644146459471e-11
0.15,0.7,3.508589508006279e-11
0.2,0.0,0
0.2,0.05,2.0206262683360995e-10
0.2,0.1,2.2531155234592663e-10
0.2,0.15,2.373917059800934e-10
0.2,0.2,2.405035642599267e-10
0.2,0.25,2.38001381612605e-10
0.2,0.3,2.416621156109699e-10
0.2,0.35,2.447293925231191e-10
0.2,0.4,2.4507965209817065e-10
0.2,0.45,2.439774615034878e-10
0.2,0.5,2.427325423742215e-10
0.2,0.55,2.42441835038622e-10
0.2,0.6,2.431266186771757e-10
0.2,0.65,2.412284689033406e-10
0.2,0.7,2.384485448205906e-10
0.25,0.0,0
0.25,0.05,1.4140402201885616e-09
0.25,0.1,1.5803335225764435e-09
0.25,0.15,1.644534181246248e-09
0.25,0.2,1.6547650757258931e-09
0.25,0.25,1.6233673303759212e-09
0.25,0.3,1.6301648431227294e-09
0.25,0.35,1.647074884580674e-09
0.25,0.4,1.6391659005129175e-09
0.25,0.45,1.622830496490945e-09
0.25,0.5,1.6095325202578996e-09
0.25,0.55,1.6074568506110788e-09
0.25,0.6,1.6324604222245908e-09
0.25,0.65,1.6241207394061174e-09
0.25,0.7,1.624070153111656e-09
0.3,0.0,0
0.3,0.05,9.349090575104045e-09
0.3,0.1,1.0369626809680511e-08
0.3,0.15,1.0878682172318519e-08
0.3,0.2,1.1030865038643542e-08
0.3,0.25,1.0886321702691243e-08
0.3,0.3,1.0835658934890312e-08
0.3,0.35,1.0926428236012007e-08
0.3,0.4,1.0885640291963355e-08
0.3,0.45,1.0800495921534398e-08
0.3,0.5,1.0736941049998116e-08
0.3,0.55,1.0733137307208742e-08
0.3,0.6,1.0857243054930555e-08
0.3,0.65,1.0869252486122977e-08
0.3,0.7,1.0997950200855294e-08
0.35,0.0,0
0.35,0.05,5.5080259224214506e-08
0.35,0.1,6.152181537821313e-08
0.35,0.15,6.469545644899075e-08
0.35,0.2,6.575181396535998e-08
0.35,0.25,6.504136810872255e-08
0.35,0.3,6.44863902269414e-08
0.35,0.35,6.568240047024384e-08
0.35,0.4,6.602414575859715e-08
0.35,0.45,6.586976361281408e-08
0.35,0.5,6.559549992701627e-08
0.35,0.55,6.553945848149339e-08
0.35,0.6,6.609895404445513e-08
0.35,0.65,6.509663454110003e-08
0.35,0.7,6.47687637450894e-08
0.4,0.0,0
0.4,0.05,2.3176596874068066e-07
0.4,0.1,2.832265530402245e-07
0.4,0.15,3.019837149286003e-07
0.4,0.2,3.097419976336777e-07
0.4,0.25,3.066765083161758e-07
0.4,0.3,2.999990200944888e-07
0.4,0.35,3.0458233617838143e-07
0.4,0.4,3.0539130282093763e-07
0.4,0.45,3.04312296272558e-07
0.4,0.5,3.022433989969573e-07
0.4,0.55,3.0099764806267827e-07
0.4,0.6,3.0319120420926386e-07
0.4,0.65,3.0141395364332003e-07
0.4,0.7,2.9580189097339514e-07
0.45,0.0,0
0.45,0.05,5.391706028176753e-07
0.45,0.1,8.008721738576086e-07
0.45,0.15,8.580067913129589e-07
0.45,0.2,8.798765559159015e-07
0.45,0.25,8.749274999230361e-07
0.45,0.3,8.507680999624977e-07
0.45,0.35,8.636605497870422e-07
0.45,0.4,8.664201641119773e-07
0.45,0.45,8.622751504263924e-07
0.45,0.5,8.569524919989902e-07
0.45,0.55,8.555537152928414e-07
0.45,0.6,8.637323430236536e-07
0.45,0.65,8.666711061049198e-07
0.45,0.7,8.553994368884315e-07
0.5,0.0,0
0.5,0.05,7.948701914351029e-07
0.5,0.1,1.3224752562595113e-06
0.5,0.15,1.5442287066827265e-06
0.5,0.2,1.6371613494593494e-06
0.5,0.25,1.6729720292593003e-06
0.5,0.3,1.6625768178831928e-06
0.5,0.35,1.6907036059447137e-06
0.5,0.4,1.71276121013298e-06
0.5,0.45,1.714888041370078e-06
0.5,0.5,1.7095610071342808e-06
0.5,0.55,1.7070869009467243e-06
0.5,0.6,1.7181606257522643e-06
0.5,0.65,1.7190244510054037e-06
0.5,0.7,1.694817862772243e-06
0.55,0.0,0
0.55,0.05,1.0185378015580514e-06
0.55,0.1,1.8077382188401868e-06
0.55,0.15,2.2833874607349593e-06
0.55,0.2,2.558145398541537e-06
0.55,0.25,2.6437034347941935e-06
0.55,0.3,2.6473130786699186e-06
0.55,0.35,2.675951498541737e-06
0.55,0.4,2.7225629014266153e-06
0.55,0.45,2.7291142836811027e-06
0.55,0.5,2.7151429995351227e-06
0.55,0.55,2.699200176078131e-06
0.55,0.6,2.700131793875539e-06
0.55,0.65,2.708708810128226e-06
0.55,0.7,2.6990903376291593e-06
0.6,0.0,0
0.6,0.05,1.1372789094733857e-06
0.6,0.1,2.085452355380508e-06
0.6,0.15,2.7914478201220307e-06
0.6,0.2,3.2402395075560942e-06
0.6,0.25,3.5296773190943127e-06
0.6,0.3,3.5901130530902704e-06
0.6,0.35,3.6298197014917015e-06
0.6,0.4,3.711156496254295e-06
0.6,0.45,3.7328305212214717e-06
0.6,0.5,3.7210170524954665e-06
0.6,0.55,3.7017208616828723e-06
0.6,0.6,3.7029321400342733e-06
0.6,0.65,3.7063346891496503e-06
0.6,0.7,3.6799597598431486e-06
0.65,0.0,0
0.65,0.05,1.2360560640546685e-06
0.65,0.1,2.315623562056704e-06
0.65,0.15,3.2168309444579643e-06
0.65,0.2,3.8112582632296054e-06
0.65,0.25,4.240565578802938e-06
0.65,0.3,4.50685534083306e-06
0.65,0.35,4.554504797708693e-06
0.65,0.4,4.682798266177082e-06
0.65,0.45,4.728192331611432e-06
0.65,0.5,4.722487921121992e-06
0.65,0.55,4.700148963423357e-06
0.65,0.6,4.697048635283088e-06
0.65,0.65,4.685234853383486e-06
0.65,0.7,4.659200927503364e-06
0.7,0.0,0
0.7,0.05,1.303779824310324e-06
0.7,0.1,2.4878209187612094e-06
0.7,0.15,3.530901461711078e-06
0.7,0.2,4.2501746366043295e-06
0.7,0.25,4.821780786584212e-06
0.7,0.3,5.167869860312429e-06
0.7,0.35,5.350423640875789e-06
0.7,0.4,5.506535560036996e-06
0.7,0.45,5.589045709820125e-06
0.7,0.5,5.603407981662403e-06
0.7,0.55,5.588380512285437e-06
0.7,0.6,5.586521362383674e-06
0.7,0.65,5.563236476846943e-06
0.7,0.7,5.564993265235557e-06
